timestamp_iso;device_id;ancien_niveau;nouveau_niveau;grandeur;valeur;unite
2026-07-23T00:33:04.633334;Appareil_001;INITIAL;VERT;RSSI;-71.0;dBm
2026-07-23T00:33:04.637309;Appareil_001;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T00:33:16.984902;Appareil_001;ORANGE;VERT;RSSI;-71.0;dBm
2026-07-23T00:33:17.091857;Appareil_001;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T00:34:05.874374;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:05.888819;Appareil_001;ROUGE;ORANGE;RSSI;-57.0;dBm
2026-07-23T00:34:06.103722;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:06.215064;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:06.749916;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:06.763613;Appareil_001;ROUGE;ORANGE;RSSI;-57.0;dBm
2026-07-23T00:34:07.293313;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:07.303767;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:07.617422;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:07.627397;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:07.860741;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:07.872149;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:08.189155;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:34:08.210919;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:08.424245;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:08.435124;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:08.680879;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:08.692577;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:09.016419;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:09.029240;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:09.346497;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:09.367968;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:09.581258;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:09.591824;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:09.905148;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:09.916450;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:10.148256;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:10.160326;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:10.375662;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:34:10.501419;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:10.721965;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:10.733485;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:11.262675;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:11.273723;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:11.595073;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:11.605939;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:11.829599;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:11.941086;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:12.157419;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:12.170074;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:12.383848;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:12.495986;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:12.712002;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:34:12.731439;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:13.046381;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:13.058491;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:13.274165;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:34:13.293665;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:13.532685;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:34:13.655357;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:13.869605;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:13.881783;Appareil_001;ROUGE;ORANGE;RSSI;-57.0;dBm
2026-07-23T00:34:14.197008;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:14.208756;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:14.522244;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:34:14.543327;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:14.774874;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:34:14.795748;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:15.008397;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:15.020664;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:15.338090;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:15.352221;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:15.567296;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:15.578927;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:15.891663;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:34:15.911504;Appareil_001;ROUGE;ORANGE;RSSI;-57.0;dBm
2026-07-23T00:34:16.124378;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:16.135198;Appareil_001;ROUGE;ORANGE;RSSI;-57.0;dBm
2026-07-23T00:34:16.448091;Appareil_001;ORANGE;ROUGE;RSSI;-54.0;dBm
2026-07-23T00:34:16.692870;Appareil_001;ROUGE;ORANGE;RSSI;-58.0;dBm
2026-07-23T00:34:17.033390;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:17.250768;Appareil_001;ROUGE;ORANGE;RSSI;-56.0;dBm
2026-07-23T00:34:17.363332;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:17.577436;Appareil_001;ROUGE;ORANGE;RSSI;-60.0;dBm
2026-07-23T00:34:17.801462;Appareil_001;ORANGE;ROUGE;RSSI;-54.0;dBm
2026-07-23T00:34:17.913550;Appareil_001;ROUGE;ORANGE;RSSI;-62.0;dBm
2026-07-23T00:34:18.159634;Appareil_001;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:34:18.170811;Appareil_001;ROUGE;ORANGE;RSSI;-62.0;dBm
2026-07-23T00:34:18.491436;Appareil_001;ORANGE;ROUGE;RSSI;-54.0;dBm
2026-07-23T00:38:23.690467;Appareil_001;ROUGE;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:38:23.706895;Appareil_001;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T00:38:24.028655;Appareil_001;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:38:24.045466;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T00:38:24.263945;Appareil_001;VERT;ORANGE;RSSI;-70.0;dBm
2026-07-23T00:38:24.280612;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T00:38:24.499731;Appareil_001;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:38:24.617338;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T00:38:24.839050;Appareil_001;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:38:24.857244;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T00:38:25.181465;Appareil_001;VERT;ORANGE;RSSI;-70.0;dBm
2026-07-23T00:38:25.198216;Appareil_001;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T00:38:25.432678;Appareil_001;VERT;ORANGE;RSSI;-70.0;dBm
2026-07-23T00:38:25.449547;Appareil_001;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T00:38:25.667917;Appareil_001;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:38:25.684602;Appareil_001;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T00:38:26.016149;Appareil_001;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:38:26.034273;Appareil_001;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T00:38:26.257226;Appareil_001;VERT;ORANGE;RSSI;-70.0;dBm
2026-07-23T00:38:26.273764;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T00:38:26.597128;Appareil_001;VERT;ORANGE;RSSI;-70.0;dBm
2026-07-23T00:38:26.613805;Appareil_001;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T00:38:26.832491;Appareil_001;VERT;ORANGE;RSSI;-70.0;dBm
2026-07-23T00:38:26.849992;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T00:38:27.168851;Appareil_001;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:38:27.185728;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T00:38:27.404613;Appareil_001;VERT;ORANGE;RSSI;-70.0;dBm
2026-07-23T00:38:27.422792;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T00:38:27.647561;Appareil_001;VERT;ORANGE;RSSI;-70.0;dBm
2026-07-23T00:38:27.764839;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-23T00:38:27.983417;Appareil_001;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:38:28.000458;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T00:38:28.320934;Appareil_001;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:38:28.337361;Appareil_001;ORANGE;VERT;RSSI;-75.0;dBm
