numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
1,1784084563.612651110,1784084563.613027096,376.000,e0:90:b5:2d:f2:73,-53,37,37,0x00,LE 1M
2,1784084563.662669897,1784084563.663045883,376.000,e0:90:b5:2d:f2:73,-52,38,37,0x00,LE 1M
3,1784084563.694649935,1784084563.695025921,376.000,e0:90:b5:2d:f2:73,-48,39,37,0x00,LE 1M
4,1784084563.726437092,1784084563.726733208,296.000,c3:38:6c:9a:ff:30,-87,37,27,0x00,LE 1M
5,1784084563.758591890,1784084563.758727789,136.000,inconnue,-59,38,7,0x07,LE 1M
6,1784084563.785031080,1784084563.785166979,136.000,inconnue,-59,39,7,0x07,LE 1M
7,1784084563.806874037,1784084563.807250023,376.000,e0:90:b5:2d:f2:73,-53,37,37,0x00,LE 1M
8,1784084563.828608036,1784084563.828984022,376.000,e0:90:b5:2d:f2:73,-52,38,37,0x00,LE 1M
9,1784084563.861663103,1784084563.862039089,376.000,e0:90:b5:2d:f2:73,-49,39,37,0x00,LE 1M
10,1784084563.894857883,1784084563.894993782,136.000,inconnue,-56,37,7,0x07,LE 1M
11,1784084563.926681995,1784084563.926985979,304.000,45:ed:1f:7e:01:34,-52,38,28,0x00,LE 1M
12,1784084563.958923101,1784084563.959227085,304.000,45:ed:1f:7e:01:34,-49,39,28,0x00,LE 1M
13,1784084563.986047029,1784084563.986423016,376.000,e0:90:b5:2d:f2:73,-53,37,37,0x00,LE 1M
14,1784084564.013494015,1784084564.013870001,376.000,e0:90:b5:2d:f2:73,-53,38,37,0x00,LE 1M
15,1784084564.061167002,1784084564.061302900,136.000,inconnue,-58,39,7,0x07,LE 1M
16,1784084564.092789888,1784084564.092973948,184.000,01:02:00:a4:1c:96,-90,37,13,0x08,LE 1M
17,1784084564.109467983,1784084564.109843969,376.000,e0:90:b5:2d:f2:73,-54,38,37,0x00,LE 1M
18,1784084564.146706104,1784084564.147082090,376.000,e0:90:b5:2d:f2:73,-51,39,37,0x00,LE 1M
