temps_s,numero_paquet,message,rssi_dbm,puissance_w,energie_totale_j
0.0008215904235839844,1,"PAQUET,3674,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ",-67,6.309573444801943e-14,8.844710409223034e-12
0.5792219638824463,2,"PAQUET,3675,TAILLE,15,Bonjour famille",-67,6.309573444801943e-14,8.844710409223034e-12
1.2978224754333496,3,"PAQUET,3676,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY",-68,5.0118723362727144e-14,8.844710409223034e-12
1.8410835266113281,4,"PAQUET,3677,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz",-68,5.0118723362727144e-14,8.844710409223034e-12
2.549189567565918,5,"PAQUET,3678,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ",-68,5.0118723362727144e-14,8.844710409223034e-12
3.316983461380005,6,"PAQUET,3679,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ",-68,5.0118723362727144e-14,8.844710409223034e-12
4.062113046646118,7,"PAQUET,3680,TAILLE,15,Bonjour famille",-69,3.9810717055349693e-14,8.844710409223034e-12
4.846610069274902,8,"PAQUET,3681,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY",-68,5.0118723362727144e-14,8.844710409223034e-12
5.592793703079224,9,"PAQUET,3682,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz",-68,5.0118723362727144e-14,8.844710409223034e-12
6.326430320739746,10,"PAQUET,3683,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ",-68,5.0118723362727144e-14,8.844710409223034e-12
7.135091304779053,11,"PAQUET,3684,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ",-67,6.309573444801943e-14,8.844710409223034e-12
8.108765363693237,12,"PAQUET,3685,TAILLE,15,Bonjour famille",-67,6.309573444801943e-14,8.844710409223034e-12
9.112687349319458,13,"PAQUET,3686,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY",-66,7.943282347242822e-14,8.844710409223034e-12
10.135881662368774,14,"PAQUET,3687,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz",-67,6.309573444801943e-14,8.844710409223034e-12
11.13936972618103,15,"PAQUET,3688,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ",-68,5.0118723362727144e-14,8.844710409223034e-12
