temps_s,experience,paquets_total,paquets_par_seconde,debit_ko_s,delay_ms,taille_message,source
315.81,inconnue,1,0.0,0.0,inconnu,inconnu,"('10.213.124.218', 2390)"
317.54,inconnue,3,1.16,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
318.57,inconnue,4,0.97,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
320.53,inconnue,6,1.02,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
322.53,inconnue,8,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
323.53,inconnue,9,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
324.54,inconnue,10,0.99,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
326.53,inconnue,12,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
328.53,inconnue,14,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
330.53,inconnue,16,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
332.53,inconnue,18,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
334.53,inconnue,20,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
336.53,inconnue,22,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
337.53,inconnue,23,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
338.53,inconnue,24,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
340.53,inconnue,26,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
341.54,inconnue,27,0.99,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
343.53,inconnue,29,1.01,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
344.53,inconnue,30,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
346.53,inconnue,32,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
348.54,inconnue,34,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
350.53,inconnue,36,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
352.52,inconnue,38,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
354.52,inconnue,40,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
355.53,inconnue,41,0.99,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
357.52,inconnue,43,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
358.53,inconnue,44,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
359.53,inconnue,45,0.99,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
361.52,inconnue,47,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
362.53,inconnue,48,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
363.53,inconnue,49,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
365.53,inconnue,51,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
366.54,inconnue,52,0.99,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
368.52,inconnue,54,1.01,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
370.52,inconnue,56,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
371.52,inconnue,57,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
373.52,inconnue,59,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
375.52,inconnue,61,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
377.52,inconnue,63,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
378.52,inconnue,64,1.0,0.04,inconnu,inconnu,"('10.213.124.218', 2390)"
