RAPPORT D'ACQUISITION BLE V4
============================

Date : 2026-07-16 15:46:14.415290
Matériel : Adafruit Bluefruit LE Sniffer nRF51822
PHY : LE 1M
Filtre : dc:a6:32:65:e5:71
Nombre d'appareils détectés : 199
Nombre de trames analysées : 503

DURÉE DES TRAMES
-----------------
Durée moyenne : 368.000 µs
Durée minimale : 368.000 µs
Durée maximale : 368.000 µs

RSSI
----
RSSI moyen : -44.27 dBm
RSSI minimal : -51 dBm
RSSI maximal : -44 dBm

RÉPARTITION PAR CANAL
---------------------
Canal 37 : 44 trames
Canal 38 : 217 trames
Canal 39 : 242 trames

APPAREILS DÉTECTÉS
-------------------
Inconnu | dc:a6:32:65:e5:71 | 503 trames | RSSI moyen=-44.26640159045726 | Durée moyenne=368.0 µs
Inconnu | 78:40:94:e3:5c:5e | 459 trames | RSSI moyen=-76.77995642701525 | Durée moyenne=254.22222222222223 µs
Inconnu | 43:9e:7c:b2:80:ce | 413 trames | RSSI moyen=-74.7409200968523 | Durée moyenne=247.4963680387409 µs
Inconnu | b4:e7:b0:c6:d7:6d | 81 trames | RSSI moyen=-68.92592592592592 | Durée moyenne=231.50617283950618 µs
Inconnu | 64:2e:e0:6b:a1:87 | 42 trames | RSSI moyen=-54.095238095238095 | Durée moyenne=194.28571428571428 µs
Inconnu | f1:3b:06:fa:61:0c | 40 trames | RSSI moyen=-83.35 | Durée moyenne=192.0 µs
Inconnu | e3:b4:de:53:f0:e3 | 38 trames | RSSI moyen=-83.84210526315789 | Durée moyenne=192.0 µs
Inconnu | 3c:dc:73:a7:09:19 | 29 trames | RSSI moyen=-59.758620689655174 | Durée moyenne=376.0 µs
Inconnu | ea:23:c0:06:56:c9 | 16 trames | RSSI moyen=-88.6875 | Durée moyenne=376.0 µs
Inconnu | inconnue | 9 trames | RSSI moyen=-87.33333333333333 | Durée moyenne=208.88888888888889 µs
Inconnu | 78:40:94:e3:5c:de | 5 trames | RSSI moyen=-88.4 | Durée moyenne=272.0 µs
Inconnu | 68:40:94:e3:5c:5e | 4 trames | RSSI moyen=-90.75 | Durée moyenne=272.0 µs
Inconnu | 78:48:94:e3:5c:5e | 3 trames | RSSI moyen=-86.33333333333333 | Durée moyenne=256.0 µs
Inconnu | 43:9e:7c:b2:80:cf | 3 trames | RSSI moyen=-83.33333333333333 | Durée moyenne=245.33333333333334 µs
Inconnu | 47:5e:d5:34:d9:5d | 3 trames | RSSI moyen=-59 | Durée moyenne=208.0 µs
Inconnu | 78:42:94:e3:5c:5e | 3 trames | RSSI moyen=-91.66666666666667 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:f3:5c:5e | 2 trames | RSSI moyen=-89 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7c:ba:80:ce | 2 trames | RSSI moyen=-92 | Durée moyenne=272.0 µs
Inconnu | 78:40:96:e3:5c:5e | 2 trames | RSSI moyen=-86 | Durée moyenne=272.0 µs
Inconnu | 78:40:9c:e3:5c:5e | 2 trames | RSSI moyen=-87.5 | Durée moyenne=272.0 µs
Inconnu | 43:9e:6c:b2:80:ce | 2 trames | RSSI moyen=-84 | Durée moyenne=272.0 µs
Inconnu | 78:c0:94:e3:5c:5e | 2 trames | RSSI moyen=-85 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:e3:5c:5a | 2 trames | RSSI moyen=-87.5 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7d:b2:80:ce | 2 trames | RSSI moyen=-83.5 | Durée moyenne=400.0 µs
Inconnu | 64:0e:e0:0b:a1:87 | 1 trames | RSSI moyen=-98 | Durée moyenne=272.0 µs
