numero_trame,nom_appareil,mac,temps_debut_s,temps_fin_s,duree_us,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
5658,Inconnu,inconnue,1783966177.815954924,1783966177.816090822,136.000,-57,37,7,0x07,LE 1M
5663,Inconnu,inconnue,1783966178.099442005,1783966178.099577904,136.000,-67,39,7,0x07,LE 1M
5668,Inconnu,inconnue,1783966178.290182114,1783966178.290454149,272.000,-94,38,24,0x08,LE 1M
5672,Inconnu,inconnue,1783966178.418746948,1783966178.418882847,136.000,-67,39,7,0x07,LE 1M
5680,Inconnu,inconnue,1783966178.657855034,1783966178.657990932,136.000,-57,38,7,0x07,LE 1M
5681,Inconnu,inconnue,1783966178.684153080,1783966178.684288979,136.000,-68,39,7,0x07,LE 1M
5685,Inconnu,inconnue,1783966179.002113104,1783966179.002249002,136.000,-57,37,7,0x07,LE 1M
5691,Inconnu,inconnue,1783966179.239816904,1783966179.239952803,136.000,-57,37,7,0x07,LE 1M
5697,Inconnu,inconnue,1783966179.538130999,1783966179.538266897,136.000,-58,37,7,0x07,LE 1M
5703,Inconnu,inconnue,1783966179.851340055,1783966179.851475954,136.000,-58,37,7,0x07,LE 1M
5710,Inconnu,inconnue,1783966180.106060028,1783966180.106195927,136.000,-57,38,7,0x07,LE 1M
5711,Inconnu,inconnue,1783966180.127451897,1783966180.127587795,136.000,-68,39,7,0x07,LE 1M
5717,Inconnu,inconnue,1783966180.371884108,1783966180.372020006,136.000,-68,39,7,0x07,LE 1M
5726,Inconnu,inconnue,1783966180.684919119,1783966180.685055017,136.000,-68,39,7,0x07,LE 1M
5729,Inconnu,inconnue,1783966180.952965975,1783966180.953101873,136.000,-69,39,7,0x07,LE 1M
5736,Inconnu,inconnue,1783966181.542427063,1783966181.542562962,136.000,-57,37,7,0x07,LE 1M
5743,Inconnu,inconnue,1783966182.091614008,1783966182.091749907,136.000,-57,38,7,0x07,LE 1M
5744,Inconnu,inconnue,1783966182.119581938,1783966182.119717836,136.000,-68,39,7,0x07,LE 1M
5751,Inconnu,inconnue,1783966182.394272089,1783966182.394407988,136.000,-58,37,7,0x07,LE 1M
5757,Inconnu,inconnue,1783966182.698467970,1783966182.698603868,136.000,-58,37,7,0x07,LE 1M
5763,Inconnu,inconnue,1783966182.950355053,1783966182.950490952,136.000,-58,37,7,0x07,LE 1M
5767,Inconnu,inconnue,1783966183.263142109,1783966183.263278008,136.000,-57,38,7,0x07,LE 1M
5768,Inconnu,inconnue,1783966183.293206930,1783966183.293342829,136.000,-68,39,7,0x07,LE 1M
5773,Inconnu,inconnue,1783966183.540035963,1783966183.540171862,136.000,-57,38,7,0x07,LE 1M
5774,Inconnu,inconnue,1783966183.577625990,1783966183.577761889,136.000,-68,39,7,0x07,LE 1M
5782,Inconnu,inconnue,1783966183.872953892,1783966183.873089790,136.000,-57,38,7,0x07,LE 1M
5783,Inconnu,inconnue,1783966183.899734020,1783966183.899869919,136.000,-68,39,7,0x07,LE 1M
5788,Inconnu,inconnue,1783966184.086662054,1783966184.086797953,136.000,-57,38,7,0x07,LE 1M
5789,Inconnu,inconnue,1783966184.118196011,1783966184.118331909,136.000,-68,39,7,0x07,LE 1M
5794,Inconnu,inconnue,1783966184.384743929,1783966184.384879827,136.000,-57,38,7,0x07,LE 1M
5795,Inconnu,inconnue,1783966184.386315107,1783966184.386451006,136.000,-68,39,7,0x07,LE 1M
5798,Inconnu,inconnue,1783966184.694119930,1783966184.694255829,136.000,-68,39,7,0x07,LE 1M
5803,Inconnu,inconnue,1783966184.911793947,1783966184.911890030,96.000,-85,38,2,0x02,LE 1M
5804,Inconnu,inconnue,1783966184.957076073,1783966184.957211971,136.000,-68,39,7,0x07,LE 1M
5807,Inconnu,inconnue,1783966185.255258083,1783966185.255393982,136.000,-68,39,7,0x07,LE 1M
5812,Inconnu,inconnue,1783966185.524492979,1783966185.524628878,136.000,-57,38,7,0x07,LE 1M
5813,Inconnu,inconnue,1783966185.546302080,1783966185.546437979,136.000,-69,39,7,0x07,LE 1M
5835,Inconnu,inconnue,1783966186.386493921,1783966186.386629820,136.000,-58,37,7,0x07,LE 1M
5839,Inconnu,inconnue,1783966186.662641048,1783966186.662776947,136.000,-57,38,7,0x07,LE 1M
5840,Inconnu,inconnue,1783966186.689949036,1783966186.690084934,136.000,-68,39,7,0x07,LE 1M
5843,Inconnu,inconnue,1783966186.947582006,1783966186.947717905,136.000,-68,39,7,0x07,LE 1M
5848,Inconnu,inconnue,1783966187.235888004,1783966187.236023903,136.000,-57,38,7,0x07,LE 1M
5849,Inconnu,inconnue,1783966187.262348890,1783966187.262484789,136.000,-69,39,7,0x07,LE 1M
5856,Inconnu,inconnue,1783966187.516555071,1783966187.516690969,136.000,-57,37,7,0x07,LE 1M
5860,Inconnu,inconnue,1783966187.848866940,1783966187.849002838,136.000,-57,38,7,0x07,LE 1M
5861,Inconnu,inconnue,1783966187.880563974,1783966187.880699873,136.000,-68,39,7,0x07,LE 1M
5868,Inconnu,inconnue,1783966188.088372946,1783966188.088508844,136.000,-57,37,7,0x07,LE 1M
5874,Inconnu,inconnue,1783966188.414995909,1783966188.415131807,136.000,-58,37,7,0x07,LE 1M
5878,Inconnu,inconnue,1783966188.663235903,1783966188.663371801,136.000,-56,38,7,0x07,LE 1M
5879,Inconnu,inconnue,1783966188.664226055,1783966188.664361954,136.000,-69,39,7,0x07,LE 1M
5888,Inconnu,inconnue,1783966188.974535942,1783966188.974671841,136.000,-69,39,7,0x07,LE 1M
5895,Inconnu,inconnue,1783966189.291702986,1783966189.291838884,136.000,-58,37,7,0x07,LE 1M
5901,Inconnu,inconnue,1783966189.598175049,1783966189.598310947,136.000,-58,37,7,0x07,LE 1M
5907,Inconnu,inconnue,1783966189.852914095,1783966189.853049994,136.000,-58,37,7,0x07,LE 1M
5911,Inconnu,inconnue,1783966190.118331909,1783966190.118467808,136.000,-57,38,7,0x07,LE 1M
5912,Inconnu,inconnue,1783966190.149980068,1783966190.150115967,136.000,-70,39,7,0x07,LE 1M
5919,Inconnu,inconnue,1783966190.452860117,1783966190.452996016,136.000,-58,37,7,0x07,LE 1M
5923,Inconnu,inconnue,1783966190.663336992,1783966190.663472891,136.000,-57,38,7,0x07,LE 1M
5928,Inconnu,inconnue,1783966190.973404884,1783966190.973540783,136.000,-57,37,7,0x07,LE 1M
5932,Inconnu,inconnue,1783966191.246531010,1783966191.246666908,136.000,-56,38,7,0x07,LE 1M
5933,Inconnu,inconnue,1783966191.273698092,1783966191.273833990,136.000,-69,39,7,0x07,LE 1M
5940,Inconnu,inconnue,1783966191.556026936,1783966191.556162834,136.000,-58,37,7,0x07,LE 1M
5946,Inconnu,inconnue,1783966191.866105080,1783966191.866240978,136.000,-57,37,7,0x07,LE 1M
5951,Inconnu,inconnue,1783966192.145302057,1783966192.145437956,136.000,-66,39,7,0x07,LE 1M
5956,Inconnu,inconnue,1783966192.392621040,1783966192.392756939,136.000,-58,38,7,0x07,LE 1M
5957,Inconnu,inconnue,1783966192.424504042,1783966192.424639940,136.000,-66,39,7,0x07,LE 1M
5962,Inconnu,inconnue,1783966192.680109978,1783966192.680245876,136.000,-59,38,7,0x07,LE 1M
5963,Inconnu,inconnue,1783966192.706511974,1783966192.706647873,136.000,-64,39,7,0x07,LE 1M
5970,Inconnu,inconnue,1783966192.968317032,1783966192.968452930,136.000,-58,37,7,0x07,LE 1M
5973,Inconnu,inconnue,1783966193.245539904,1783966193.245675802,136.000,-58,37,7,0x07,LE 1M
5977,Inconnu,inconnue,1783966193.552083969,1783966193.552219868,136.000,-58,38,7,0x07,LE 1M
5978,Inconnu,inconnue,1783966193.583879948,1783966193.584015846,136.000,-64,39,7,0x07,LE 1M
