numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
1,1784153985.503443956,1784153985.503723860,280.000,7f:86:41:7a:b7:3a,-79,37,25,0x00,LE 1M
2,1784153985.592547894,1784153985.592723846,176.000,7b:a7:ce:09:98:d7,-44,38,12,0x03,LE 1M
3,1784153985.634531975,1784153985.634804010,272.000,7b:a7:ce:09:98:d7,-77,39,24,0x00,LE 1M
4,1784153985.661639929,1784153985.661911964,272.000,7c:90:5e:19:43:dd,-86,37,24,0x00,LE 1M
5,1784153985.662816048,1784153985.663079977,264.000,72:53:05:8e:19:88,-70,38,23,0x00,LE 1M
6,1784153985.663590908,1784153985.663854837,264.000,72:53:05:8e:19:88,-67,39,23,0x00,LE 1M
7,1784153985.774728060,1784153985.775007963,280.000,7f:86:41:7a:b7:3a,-77,37,25,0x00,LE 1M
8,1784153986.117839098,1784153986.117991209,152.000,35:cb:73:33:ce:f9,-98,38,9,0x00,LE 1M
9,1784153986.155090094,1784153986.155362129,272.000,7b:a7:ce:09:98:d7,-77,39,24,0x00,LE 1M
10,1784153986.193262100,1784153986.193534136,272.000,7c:90:5e:19:43:dd,-84,37,24,0x00,LE 1M
11,1784153986.336563110,1784153986.336835146,272.000,inconnue,-85,38,24,0x0c,LE 1M
12,1784153986.369278908,1784153986.369550943,272.000,6f:e6:89:6a:fe:0c,-81,39,24,0x00,LE 1M
13,1784153986.401493073,1784153986.401772976,280.000,60:6a:4b:f3:ff:78,-88,37,25,0x00,LE 1M
14,1784153986.745918036,1784153986.746181965,264.000,72:53:05:8e:19:88,-70,38,23,0x00,LE 1M
15,1784153986.767442942,1784153986.767706871,264.000,72:53:05:8e:19:88,-67,39,23,0x00,LE 1M
16,1784153986.799375057,1784153986.799647093,272.000,4c:20:a8:b2:76:c1,-85,37,24,0x00,LE 1M
17,1784153987.032699108,1784153987.032963037,264.000,72:53:05:8e:19:88,-77,38,23,0x00,LE 1M
18,1784153987.065330029,1784153987.065593958,264.000,72:53:05:8e:19:88,-68,39,23,0x00,LE 1M
19,1784153987.154318094,1784153987.154597998,280.000,7f:86:41:7a:b7:3a,-77,37,25,0x00,LE 1M
20,1784153987.358408928,1784153987.358600855,192.000,f1:b2:f4:eb:27:1a,-77,38,14,0x02,LE 1M
21,1784153987.438724041,1784153987.438996077,272.000,6f:e6:89:6a:fe:0c,-80,39,24,0x00,LE 1M
22,1784153987.476365089,1784153987.476644993,280.000,75:64:f3:64:d7:30,-86,37,25,0x00,LE 1M
23,1784153987.867400885,1784153987.867664814,264.000,72:53:05:8e:99:88,-72,38,23,0x00,LE 1M
24,1784153987.894778967,1784153987.895042896,264.000,72:53:05:8e:19:88,-68,39,23,0x00,LE 1M
25,1784153987.973109007,1784153987.973381042,272.000,6f:e6:89:6a:fe:0c,-87,37,24,0x00,LE 1M
26,1784153988.130817890,1784153988.131081820,264.000,72:53:05:8e:19:88,-71,38,23,0x00,LE 1M
27,1784153988.178689003,1784153988.178952932,264.000,72:53:05:8e:19:88,-69,39,23,0x00,LE 1M
28,1784153988.196329117,1784153988.196593046,264.000,5b:24:72:77:32:1d,-88,37,23,0x00,LE 1M
29,1784153988.256686926,1784153988.256958961,272.000,6f:e6:89:6a:ff:0c,-80,38,24,0x00,LE 1M
30,1784153988.283312082,1784153988.283584118,272.000,6f:e6:89:6a:fe:0c,-81,39,24,0x00,LE 1M
31,1784153988.284110069,1784153988.284301996,192.000,e7:35:69:a1:8a:67,-78,37,14,0x02,LE 1M
32,1784153988.411792994,1784153988.412056923,264.000,72:53:05:8e:19:88,-71,38,23,0x00,LE 1M
33,1784153988.459005117,1784153988.459269047,264.000,72:53:05:8e:19:88,-68,39,23,0x00,LE 1M
34,1784153988.487775087,1784153988.487967014,192.000,f0:d8:ee:4e:06:e9,-85,37,14,0x02,LE 1M
35,1784153988.530903101,1784153988.531183004,280.000,7f:86:41:7a:b7:3a,-85,38,25,0x00,LE 1M
36,1784153988.585536003,1784153988.585727930,192.000,c3:4c:ca:88:99:5f,-83,39,14,0x02,LE 1M
37,1784153988.612287045,1784153988.612566948,280.000,60:6a:4b:f3:ff:78,-90,37,25,0x00,LE 1M
