numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
1,1784085243.290523052,1784085243.290827036,304.000,5d:9d:6f:a8:90:a8,-46,37,28,0x00,LE 1M
2,1784085243.341376066,1784085243.341752052,376.000,e0:90:b5:2d:f2:73,-46,38,37,0x00,LE 1M
3,1784085243.358200073,1784085243.358335972,136.000,inconnue,-69,39,7,0x07,LE 1M
4,1784085243.396353006,1784085243.396728992,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
5,1784085243.428419113,1784085243.428699017,280.000,6c:8d:f0:9a:d6:f2,-77,38,25,0x00,LE 1M
6,1784085243.455024958,1784085243.455304861,280.000,6c:8d:f0:9a:d6:f2,-79,39,25,0x00,LE 1M
7,1784085243.481952906,1784085243.482328892,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
8,1784085243.509138107,1784085243.509410143,272.000,41:5c:5e:03:51:8b,-73,38,24,0x00,LE 1M
9,1784085243.535743952,1784085243.536047935,304.000,5d:9d:6f:a8:90:a8,-49,39,28,0x00,LE 1M
10,1784085243.562391043,1784085243.562695026,304.000,5d:9d:6f:a8:90:a8,-46,37,28,0x00,LE 1M
11,1784085243.593913078,1784085243.594048977,136.000,inconnue,-48,38,7,0x07,LE 1M
12,1784085243.599869013,1784085243.600004911,136.000,inconnue,-68,39,7,0x07,LE 1M
13,1784085243.616197109,1784085243.616477013,280.000,63:01:49:29:80:f1,-82,37,25,0x00,LE 1M
14,1784085243.642817020,1784085243.643193007,376.000,e0:90:b5:2d:f2:73,-46,38,37,0x00,LE 1M
15,1784085243.644136906,1784085243.644512892,376.000,e0:90:b5:2d:f2:73,-49,39,37,0x00,LE 1M
16,1784085243.645344973,1784085243.645480871,136.000,inconnue,-48,37,7,0x07,LE 1M
17,1784085243.646105051,1784085243.646409035,304.000,5d:9d:6f:a8:90:a8,-46,38,28,0x00,LE 1M
18,1784085243.672542095,1784085243.672846079,304.000,5d:9d:6f:a8:90:a8,-49,39,28,0x00,LE 1M
19,1784085243.694096088,1784085243.694400072,304.000,5d:9d:6f:a8:90:a8,-46,37,28,0x00,LE 1M
20,1784085243.710581064,1784085243.710957050,376.000,e0:90:b5:2d:f2:73,-47,38,37,0x00,LE 1M
21,1784085243.739573956,1784085243.739853859,280.000,6c:8d:f0:9a:d6:f2,-80,39,25,0x00,LE 1M
22,1784085243.756108046,1784085243.756484032,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
