numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_dbm;canal;duree_estimee_us;timestamp_fin_s;intervalle_ms;company_id;donnees_brutes;uuid_cible;major_cible;minor_cible
90;1784208617.575215101;2840.614949;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208617.575583220;2791833.008;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
91;1784208617.601851940;2840.641586;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208617.602220058;26.637;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
92;1784208618.868242025;2841.907976;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208618.868610144;1266.390;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
93;1784208618.896766901;2841.936501;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208618.897135019;28.525;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
94;1784208620.150573015;2843.190307;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208620.150941133;1253.806;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
95;1784208620.171180010;2843.210914;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208620.171548128;20.607;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
96;1784208621.435240030;2844.474974;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208621.435608149;1264.060;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
97;1784208621.455250025;2844.494984;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208621.455618143;20.010;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
98;1784208622.709661961;2845.749396;dc:a6:32:65:e5:71;36;0x00;-45;38;368.000;1784208622.710030079;1254.412;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
99;1784208622.731481075;2845.771215;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208622.731849194;21.819;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
100;1784208623.997812986;2847.037547;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208623.998181105;1266.332;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
101;1784208624.028759003;2847.068493;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208624.029127121;30.946;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
102;1784208625.269825935;2848.309560;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208625.270194054;1241.067;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
103;1784208625.296674013;2848.336408;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208625.297042131;26.848;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
104;1784208626.524163008;2849.563897;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208626.524531126;1227.489;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
105;1784208626.530939102;2849.570673;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208626.531307220;6.776;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
106;1784208627.816756964;2850.856491;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208627.817125082;1285.818;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
107;1784208627.838382959;2850.878117;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208627.838751078;21.626;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
108;1784208629.101191044;2852.140925;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208629.101559162;1262.808;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
109;1784208629.132787943;2852.172522;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208629.133156061;31.597;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
110;1784208630.391592026;2853.431326;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208630.391960144;1258.804;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
111;1784208630.430707932;2853.470442;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208630.431076050;39.116;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
112;1784208631.661210060;2854.700944;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208631.661578178;1230.502;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
113;1784208631.689812899;2854.729547;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208631.690181017;28.603;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
114;1784208632.964663982;2856.004398;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208632.965032101;1274.851;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
115;1784208634.235234022;2857.274968;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208634.235602140;1270.570;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
116;1784208634.262331009;2857.302065;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208634.262699127;27.097;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
117;1784208635.507162094;2858.546896;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208635.507530212;1244.831;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
118;1784208635.528609037;2858.568343;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208635.528977156;21.447;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
119;1784208636.801810026;2859.841544;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208636.802178144;1273.201;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
120;1784208636.839556932;2859.879291;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208636.839925051;37.747;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
121;1784208638.091178894;2861.130913;dc:a6:32:65:e5:71;36;0x00;-48;37;368.000;1784208638.091547012;1251.622;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
122;1784208638.112791061;2861.152525;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208638.113159180;21.612;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
123;1784208638.140177965;2861.179912;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208638.140546083;27.387;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
124;1784208639.371711016;2862.411445;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208639.372079134;1231.533;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
