numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_brut_dbm;rssi_calibre_dbm;offset_db;canal;duree_estimee_us;timestamp_fin_s;intervalle_ms;company_id;donnees_brutes;uuid_cible;major_cible;minor_cible
149;1784722441.139141083;166.142779;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722441.139485121;145526.249;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
150;1784722441.165307999;166.168946;67:08:db:54:3a:39;33;0x00;-70;-70.00;0.00;39;344.000;1784722441.165652037;26.167;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
151;1784722441.433762074;166.437400;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722441.434106112;268.454;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
152;1784722441.745033979;166.748672;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722441.745378017;311.272;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
153;1784722441.772062063;166.775700;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722441.772406101;27.028;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
154;1784722441.803766012;166.807404;67:08:db:54:3a:39;33;0x00;-71;-71.00;0.00;39;344.000;1784722441.804110050;31.704;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
155;1784722442.017997980;167.021636;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722442.018342018;214.232;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
156;1784722442.044433117;167.048071;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722442.044777155;26.435;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
157;1784722442.062074900;167.065713;67:08:db:54:3a:39;33;0x00;-71;-71.00;0.00;39;344.000;1784722442.062418938;17.642;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
158;1784722442.298742056;167.302380;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722442.299086094;236.667;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
159;1784722442.325237989;167.328876;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722442.325582027;26.496;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
160;1784722442.342300892;167.345939;67:08:db:54:3a:39;33;0x00;-70;-70.00;0.00;39;344.000;1784722442.342644930;17.063;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
161;1784722442.594894886;167.598533;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722442.595238924;252.594;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
162;1784722442.627137899;167.630776;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722442.627481937;32.243;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
163;1784722442.653609991;167.657248;67:08:db:54:3a:39;33;0x00;-71;-71.00;0.00;39;344.000;1784722442.653954029;26.472;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
164;1784722442.878340960;167.881979;67:08:db:54:3a:39;33;0x00;-66;-66.00;0.00;37;344.000;1784722442.878684998;224.731;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
165;1784722442.889719009;167.893357;67:08:db:54:3a:39;33;0x00;-62;-62.00;0.00;38;344.000;1784722442.890063047;11.378;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
