numero_evenement;timestamp_debut_s;timestamp_fin_s;temps_relatif_s;intervalle_evenements_ms;nombre_trames;canaux_recus;canaux_manquants;rssi_moyen_dbm;rssi_min_dbm;rssi_max_dbm;duree_moyenne_trame_us;duree_radio_totale_us;duree_evenement_ms;longueur_payload_moyenne;types_pdu;company_id;donnees_brutes;uuid_cible;major_cible;minor_cible
1;1784203014.370513916;1784203014.418657064;0.000000;;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;48.143;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
2;1784203015.672955990;1784203015.673324108;1.302442;1302.442;1;39;37,38;-44.000;-44;-44;368.000;368.000;0.368;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
3;1784203016.952019930;1784203016.979507208;2.581506;1279.064;2;38,39;37;-44.000;-44;-44;368.000;736.000;27.487;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
4;1784203018.261080027;1784203018.305832148;3.890566;1309.060;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;44.752;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
5;1784203019.512315989;1784203019.512684107;5.141802;1251.236;1;39;37,38;-44.000;-44;-44;368.000;368.000;0.368;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
6;1784203020.803193092;1784203020.835667133;6.432679;1290.877;2;38,39;37;-44.000;-44;-44;368.000;736.000;32.474;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
7;1784203022.095551968;1784203022.147875071;7.725038;1292.359;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;52.323;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
8;1784203023.402844906;1784203023.405610085;9.032331;1307.293;2;38,39;37;-44.000;-44;-44;368.000;736.000;2.765;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
9;1784203024.647006035;1784203024.669968128;10.276492;1244.161;2;38,39;37;-44.000;-44;-44;368.000;736.000;22.962;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
10;1784203025.907474041;1784203025.928565025;11.536960;1260.468;2;38,39;37;-44.000;-44;-44;368.000;736.000;21.091;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
11;1784203027.227000952;1784203027.259408236;12.856487;1319.527;2;38,39;37;-44.000;-44;-44;368.000;736.000;32.407;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
12;1784203028.474247932;1784203028.501549006;14.103734;1247.247;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;27.301;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
13;1784203029.785130978;1784203029.833727121;15.414617;1310.883;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;48.596;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
14;1784203031.060549974;1784203031.092930079;16.690036;1275.419;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;32.380;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
15;1784203032.335232019;1784203032.367361069;17.964718;1274.682;2;38,39;37;-44.000;-44;-44;368.000;736.000;32.129;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
16;1784203033.617497921;1784203033.617866039;19.246984;1282.266;1;39;37,38;-44.000;-44;-44;368.000;368.000;0.368;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
17;1784203034.894886971;1784203034.923788071;20.524373;1277.389;2;38,39;37;-44.000;-44;-44;368.000;736.000;28.901;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
18;1784203036.185530901;1784203036.255253077;21.815017;1290.644;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;69.722;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
19;1784203037.457921028;1784203037.518031120;23.087407;1272.390;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;60.110;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
20;1784203038.727813005;1784203038.728181124;24.357299;1269.892;1;39;37,38;-44.000;-44;-44;368.000;368.000;0.368;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
21;1784203040.089895964;1784203040.133934021;25.719382;1362.083;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;44.038;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
22;1784203041.343730927;1784203041.402291059;26.973217;1253.835;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;58.560;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
23;1784203042.611612082;1784203042.643928051;28.241098;1267.881;2;38,39;37;-44.000;-44;-44;368.000;736.000;32.316;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
24;1784203043.901403904;1784203043.956312180;29.530890;1289.792;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;54.908;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
25;1784203045.147314072;1784203045.217922211;30.776800;1245.910;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;70.608;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
26;1784203046.450232029;1784203046.518787146;32.079718;1302.918;3;37,38,39;;-44.000;-44;-44;368.000;1104.000;68.555;36.000;0x00;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
