temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
0.013266324996948242,Wi-Fi 2.4 GHz,"PAQUET,34,TAILLE,1,A",-36,2.5118864315095823e-07,,0.0009372279332411575
20.214719533920288,Wi-Fi 2.4 GHz,"PAQUET,36,TAILLE,1,A",-36,2.5118864315095823e-07,,0.0009372279332411575
29.89304256439209,Wi-Fi 2.4 GHz,"PAQUET,37,TAILLE,10,HELLO WIFI",-33,5.011872336272725e-07,,0.0009372279332411575
40.072102069854736,Wi-Fi 2.4 GHz,"PAQUET,38,TAILLE,1,A",-36,2.5118864315095823e-07,,0.0009372279332411575
50.25192713737488,Wi-Fi 2.4 GHz,"PAQUET,39,TAILLE,10,HELLO WIFI",-33,5.011872336272725e-07,,0.0009372279332411575
60.40159845352173,Wi-Fi 2.4 GHz,"PAQUET,40,TAILLE,1,A",-34,3.981071705534969e-07,,0.0009372279332411575
70.03451418876648,Wi-Fi 2.4 GHz,"PAQUET,41,TAILLE,10,HELLO WIFI",-33,5.011872336272725e-07,,0.0009372279332411575
80.20273804664612,Wi-Fi 2.4 GHz,"PAQUET,42,TAILLE,1,A",-33,5.011872336272725e-07,,0.0009372279332411575
89.89707779884338,Wi-Fi 2.4 GHz,"PAQUET,43,TAILLE,10,HELLO WIFI",-33,5.011872336272725e-07,,0.0009372279332411575
100.0257933139801,Wi-Fi 2.4 GHz,"PAQUET,44,TAILLE,1,A",-34,3.981071705534969e-07,,0.0009372279332411575
110.15403294563293,Wi-Fi 2.4 GHz,"PAQUET,45,TAILLE,10,HELLO WIFI",-35,3.162277660168379e-07,,0.0009372279332411575
119.77302837371826,Wi-Fi 2.4 GHz,"PAQUET,46,TAILLE,1,A",-34,3.981071705534969e-07,,0.0009372279332411575
129.92435026168823,Wi-Fi 2.4 GHz,"PAQUET,47,TAILLE,10,HELLO WIFI",-34,3.981071705534969e-07,,0.0009372279332411575
140.08648896217346,Wi-Fi 2.4 GHz,"PAQUET,48,TAILLE,1,A",-35,3.162277660168379e-07,,0.0009372279332411575
150.25527954101562,Wi-Fi 2.4 GHz,"PAQUET,49,TAILLE,10,HELLO WIFI",-34,3.981071705534969e-07,,0.0009372279332411575
159.93870615959167,Wi-Fi 2.4 GHz,"PAQUET,50,TAILLE,1,A",-34,3.981071705534969e-07,,0.0009372279332411575
170.14934015274048,Wi-Fi 2.4 GHz,"PAQUET,51,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
179.91981029510498,Wi-Fi 2.4 GHz,"PAQUET,52,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
190.09425806999207,Wi-Fi 2.4 GHz,"PAQUET,53,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
200.27272081375122,Wi-Fi 2.4 GHz,"PAQUET,54,TAILLE,1,A",-32,6.30957344480193e-07,,0.0009372279332411575
209.98092579841614,Wi-Fi 2.4 GHz,"PAQUET,55,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
220.10413718223572,Wi-Fi 2.4 GHz,"PAQUET,56,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
229.73543524742126,Wi-Fi 2.4 GHz,"PAQUET,57,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
239.8477759361267,Wi-Fi 2.4 GHz,"PAQUET,58,TAILLE,1,A",-32,6.30957344480193e-07,,0.0009372279332411575
249.99713778495789,Wi-Fi 2.4 GHz,"PAQUET,59,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
279.6671278476715,Wi-Fi 2.4 GHz,"PAQUET,62,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
299.8356308937073,Wi-Fi 2.4 GHz,"PAQUET,64,TAILLE,1,A",-32,6.30957344480193e-07,,0.0009372279332411575
320.02229380607605,Wi-Fi 2.4 GHz,"PAQUET,66,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
330.189768075943,Wi-Fi 2.4 GHz,"PAQUET,67,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
339.85744285583496,Wi-Fi 2.4 GHz,"PAQUET,68,TAILLE,1,A",-33,5.011872336272725e-07,,0.0009372279332411575
360.06161880493164,Wi-Fi 2.4 GHz,"PAQUET,70,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
379.76436972618103,Wi-Fi 2.4 GHz,"PAQUET,72,TAILLE,1,A",-30,1e-06,,0.0009372279332411575
389.98060965538025,Wi-Fi 2.4 GHz,"PAQUET,73,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
400.20790815353394,Wi-Fi 2.4 GHz,"PAQUET,74,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
410.40968203544617,Wi-Fi 2.4 GHz,"PAQUET,75,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
420.0497510433197,Wi-Fi 2.4 GHz,"PAQUET,76,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
429.6831705570221,Wi-Fi 2.4 GHz,"PAQUET,77,TAILLE,10,HELLO WIFI",-30,1e-06,,0.0009372279332411575
440.3143541812897,Wi-Fi 2.4 GHz,"PAQUET,78,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
449.95698165893555,Wi-Fi 2.4 GHz,"PAQUET,79,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
460.1028518676758,Wi-Fi 2.4 GHz,"PAQUET,80,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
470.2482807636261,Wi-Fi 2.4 GHz,"PAQUET,81,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
479.87515449523926,Wi-Fi 2.4 GHz,"PAQUET,82,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
500.018266916275,Wi-Fi 2.4 GHz,"PAQUET,84,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
519.6672205924988,Wi-Fi 2.4 GHz,"PAQUET,86,TAILLE,1,A",-32,6.30957344480193e-07,,0.0009372279332411575
539.835079908371,Wi-Fi 2.4 GHz,"PAQUET,88,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
559.5001437664032,Wi-Fi 2.4 GHz,"PAQUET,90,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
569.6660022735596,Wi-Fi 2.4 GHz,"PAQUET,91,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
589.8163290023804,Wi-Fi 2.4 GHz,"PAQUET,93,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
609.9737639427185,Wi-Fi 2.4 GHz,"PAQUET,95,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
619.665367603302,Wi-Fi 2.4 GHz,"PAQUET,96,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
629.8313808441162,Wi-Fi 2.4 GHz,"PAQUET,97,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
639.4870574474335,Wi-Fi 2.4 GHz,"PAQUET,98,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
649.6288177967072,Wi-Fi 2.4 GHz,"PAQUET,99,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
669.819295167923,Wi-Fi 2.4 GHz,"PAQUET,101,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
690.0210521221161,Wi-Fi 2.4 GHz,"PAQUET,103,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
709.7199106216431,Wi-Fi 2.4 GHz,"PAQUET,105,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
729.9135072231293,Wi-Fi 2.4 GHz,"PAQUET,107,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
739.5997660160065,Wi-Fi 2.4 GHz,"PAQUET,108,TAILLE,1,A",-32,6.30957344480193e-07,,0.0009372279332411575
749.7696380615234,Wi-Fi 2.4 GHz,"PAQUET,109,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
759.9263830184937,Wi-Fi 2.4 GHz,"PAQUET,110,TAILLE,1,A",-30,1e-06,,0.0009372279332411575
779.6331236362457,Wi-Fi 2.4 GHz,"PAQUET,112,TAILLE,1,A",-32,6.30957344480193e-07,,0.0009372279332411575
789.8320479393005,Wi-Fi 2.4 GHz,"PAQUET,113,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
829.6292266845703,Wi-Fi 2.4 GHz,"PAQUET,117,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
839.7722866535187,Wi-Fi 2.4 GHz,"PAQUET,118,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
859.4252305030823,Wi-Fi 2.4 GHz,"PAQUET,120,TAILLE,1,A",-32,6.30957344480193e-07,,0.0009372279332411575
899.5876767635345,Wi-Fi 2.4 GHz,"PAQUET,124,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
929.7582342624664,Wi-Fi 2.4 GHz,"PAQUET,127,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
939.9062767028809,Wi-Fi 2.4 GHz,"PAQUET,128,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
949.5399463176727,Wi-Fi 2.4 GHz,"PAQUET,129,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
969.6593580245972,Wi-Fi 2.4 GHz,"PAQUET,131,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
979.7930278778076,Wi-Fi 2.4 GHz,"PAQUET,132,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
999.4661705493927,Wi-Fi 2.4 GHz,"PAQUET,134,TAILLE,1,A",-32,6.30957344480193e-07,,0.0009372279332411575
1009.6183667182922,Wi-Fi 2.4 GHz,"PAQUET,135,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
1029.7555963993073,Wi-Fi 2.4 GHz,"PAQUET,137,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
1039.385670185089,Wi-Fi 2.4 GHz,"PAQUET,138,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
1049.5210309028625,Wi-Fi 2.4 GHz,"PAQUET,139,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
1059.6355471611023,Wi-Fi 2.4 GHz,"PAQUET,140,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
1069.276266336441,Wi-Fi 2.4 GHz,"PAQUET,141,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
1089.9248919487,Wi-Fi 2.4 GHz,"PAQUET,143,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
1099.5758991241455,Wi-Fi 2.4 GHz,"PAQUET,144,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
1119.2414455413818,Wi-Fi 2.4 GHz,"PAQUET,146,TAILLE,1,A",-32,6.30957344480193e-07,,0.0009372279332411575
1129.4955253601074,Wi-Fi 2.4 GHz,"PAQUET,147,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
1139.635584115982,Wi-Fi 2.4 GHz,"PAQUET,148,TAILLE,1,A",-32,6.30957344480193e-07,,0.0009372279332411575
1179.3220188617706,Wi-Fi 2.4 GHz,"PAQUET,152,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
1189.5026330947876,Wi-Fi 2.4 GHz,"PAQUET,153,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
1199.68359541893,Wi-Fi 2.4 GHz,"PAQUET,154,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
1209.362636566162,Wi-Fi 2.4 GHz,"PAQUET,155,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
1259.0767850875854,Wi-Fi 2.4 GHz,"PAQUET,160,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
1269.2110645771027,Wi-Fi 2.4 GHz,"PAQUET,161,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
1279.383162021637,Wi-Fi 2.4 GHz,"PAQUET,162,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
1289.5560166835785,Wi-Fi 2.4 GHz,"PAQUET,163,TAILLE,10,HELLO WIFI",-32,6.30957344480193e-07,,0.0009372279332411575
1299.2393548488617,Wi-Fi 2.4 GHz,"PAQUET,164,TAILLE,1,A",-33,5.011872336272725e-07,,0.0009372279332411575
1309.3780353069305,Wi-Fi 2.4 GHz,"PAQUET,165,TAILLE,10,HELLO WIFI",-31,7.943282347242822e-07,,0.0009372279332411575
1319.5509142875671,Wi-Fi 2.4 GHz,"PAQUET,166,TAILLE,1,A",-31,7.943282347242822e-07,,0.0009372279332411575
1329.186408996582,Wi-Fi 2.4 GHz,"PAQUET,167,TAILLE,10,HELLO WIFI",-33,5.011872336272725e-07,,0.0009372279332411575
