numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,247.4002914428711,248.57913208007812,1.1788406372070312,-29.0,1.2589254117941661e-06,1.484072434635559e-06
2,256.89073967933655,258.20229625701904,1.3115565776824951,-29.0,1.2589254117941661e-06,1.6511519046502824e-06
3,261.7930996417999,263.0115864276886,1.2184867858886719,-29.0,1.2589254117941661e-06,1.533983978690646e-06
4,265.4757385253906,266.6299593448639,1.1542208194732666,-29.0,1.2589254117941661e-06,1.453077920456782e-06
5,272.9794924259186,277.3286328315735,4.349140405654907,-29.0,1.2589254117941661e-06,5.475243376139751e-06
6,326.4318382740021,336.560019493103,10.128181219100952,-27.0,1.9952623149688787e-06,2.0208378305647686e-05
7,406.6396527290344,436.78595542907715,30.146302700042725,-29.0,1.2589254117941661e-06,3.7951946540722866e-05
8,536.5254883766174,558.6913599967957,22.165871620178223,-28.0,1.584893192461114e-06,3.513053903578747e-05
9,826.4241449832916,836.6040301322937,10.179885149002075,-29.0,1.2589254117941661e-06,1.2815716103224753e-05
10,1755.7971322536469,1765.9878647327423,10.190732479095459,-29.0,1.2589254117941661e-06,1.2829372082729435e-05
11,1776.1868207454681,1796.0850565433502,19.89823579788208,-28.5,1.4125375446227554e-06,2.810700513626497e-05
12,1805.7860989570618,1826.1331198215485,20.347020864486694,-27.5,1.778279410038923e-06,3.6182688258949053e-05
13,1846.0036330223083,1865.8696019649506,19.865968942642212,-28.5,1.4125375446227554e-06,2.8061426991791745e-05
