temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
20.4746572971344,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-59,1.2589254117941663e-09,,4.151328558167939e-07
21.26009750366211,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-74,3.9810717055349695e-11,,4.151328558167939e-07
22.125096082687378,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-53,5.011872336272715e-09,,4.151328558167939e-07
22.957406997680664,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-50,1e-08,,4.151328558167939e-07
23.788114070892334,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-59,1.2589254117941663e-09,,4.151328558167939e-07
24.602807760238647,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-60,1e-09,,4.151328558167939e-07
25.385531187057495,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-74,3.9810717055349695e-11,,4.151328558167939e-07
26.00433921813965,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-68,1.584893192461111e-10,,4.151328558167939e-07
26.836055755615234,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-68,1.584893192461111e-10,,4.151328558167939e-07
27.63764262199402,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-52,6.309573444801943e-09,,4.151328558167939e-07
28.49717092514038,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-54,3.981071705534969e-09,,4.151328558167939e-07
29.269516468048096,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-47,1.9952623149688786e-08,,4.151328558167939e-07
29.91005277633667,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-44,3.981071705534969e-08,,4.151328558167939e-07
30.725911617279053,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-63,5.011872336272714e-10,,4.151328558167939e-07
31.438168048858643,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-72,6.309573444801942e-11,,4.151328558167939e-07
32.128864765167236,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-49,1.2589254117941661e-08,,4.151328558167939e-07
32.87207841873169,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-59,1.2589254117941663e-09,,4.151328558167939e-07
33.729692459106445,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-57,1.9952623149688828e-09,,4.151328558167939e-07
34.598774671554565,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-62,6.309573444801942e-10,,4.151328558167939e-07
35.844451665878296,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-72,6.309573444801942e-11,,4.151328558167939e-07
36.49788284301758,Beacons BLE,Beacon BLE | MAC=64:A4:E0:FD:BB:AC,-73,5.011872336272715e-11,,4.151328558167939e-07
37.28382134437561,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-57,1.9952623149688828e-09,,4.151328558167939e-07
38.06899905204773,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-57,1.9952623149688828e-09,,4.151328558167939e-07
38.746543169021606,Beacons BLE,Beacon BLE | MAC=64:A4:E0:FD:BB:AC,-60,1e-09,,4.151328558167939e-07
39.56267261505127,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-65,3.1622776601683795e-10,,4.151328558167939e-07
40.23403596878052,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-74,3.9810717055349695e-11,,4.151328558167939e-07
40.96444249153137,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-58,1.584893192461111e-09,,4.151328558167939e-07
41.798264503479004,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-62,6.309573444801942e-10,,4.151328558167939e-07
42.61715817451477,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-51,7.943282347242822e-09,,4.151328558167939e-07
43.29886770248413,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-57,1.9952623149688828e-09,,4.151328558167939e-07
44.10934543609619,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-44,3.981071705534969e-08,,4.151328558167939e-07
44.924407958984375,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-45,3.162277660168379e-08,,4.151328558167939e-07
45.65862154960632,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-59,1.2589254117941663e-09,,4.151328558167939e-07
46.31141996383667,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-65,3.1622776601683795e-10,,4.151328558167939e-07
47.03182554244995,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-59,1.2589254117941663e-09,,4.151328558167939e-07
48.10115885734558,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-48,1.5848931924611143e-08,,4.151328558167939e-07
49.32356905937195,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-49,1.2589254117941661e-08,,4.151328558167939e-07
50.30298614501953,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-50,1e-08,,4.151328558167939e-07
50.98869276046753,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-71,7.943282347242822e-11,,4.151328558167939e-07
51.81103563308716,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-74,3.9810717055349695e-11,,4.151328558167939e-07
52.575791120529175,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-45,3.162277660168379e-08,,4.151328558167939e-07
53.32382369041443,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-69,1.2589254117941662e-10,,4.151328558167939e-07
54.06845045089722,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-55,3.1622776601683795e-09,,4.151328558167939e-07
54.74837279319763,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-57,1.9952623149688828e-09,,4.151328558167939e-07
55.36980223655701,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-69,1.2589254117941662e-10,,4.151328558167939e-07
56.1307053565979,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-61,7.943282347242822e-10,,4.151328558167939e-07
56.95627522468567,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-55,3.1622776601683795e-09,,4.151328558167939e-07
