temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
13.327030181884766,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-56,2.511886431509582e-09,,2.901480254423714e-06
14.090958833694458,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-56,2.511886431509582e-09,,2.901480254423714e-06
14.914348840713501,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-71,7.943282347242822e-11,,2.901480254423714e-06
16.091041803359985,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-47,1.9952623149688786e-08,,2.901480254423714e-06
16.952154874801636,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-47,1.9952623149688786e-08,,2.901480254423714e-06
17.895159482955933,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-47,1.9952623149688786e-08,,2.901480254423714e-06
18.544471502304077,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-64,3.9810717055349694e-10,,2.901480254423714e-06
19.139550924301147,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-80,1e-11,,2.901480254423714e-06
19.87145209312439,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-71,7.943282347242822e-11,,2.901480254423714e-06
20.793502807617188,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-46,2.511886431509582e-08,,2.901480254423714e-06
21.567060232162476,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-54,3.981071705534969e-09,,2.901480254423714e-06
22.265636920928955,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-67,1.9952623149688828e-10,,2.901480254423714e-06
22.90655493736267,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-70,1e-10,,2.901480254423714e-06
23.493937253952026,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-59,1.2589254117941663e-09,,2.901480254423714e-06
24.321253776550293,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-60,1e-09,,2.901480254423714e-06
25.15198802947998,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-61,7.943282347242822e-10,,2.901480254423714e-06
26.102059364318848,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-48,1.5848931924611143e-08,,2.901480254423714e-06
26.891652822494507,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-57,1.9952623149688828e-09,,2.901480254423714e-06
27.59515929222107,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-73,5.011872336272715e-11,,2.901480254423714e-06
28.482590675354004,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-56,2.511886431509582e-09,,2.901480254423714e-06
29.169697523117065,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-75,3.1622776601683794e-11,,2.901480254423714e-06
30.41222357749939,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-63,5.011872336272714e-10,,2.901480254423714e-06
31.08803415298462,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-76,2.5118864315095823e-11,,2.901480254423714e-06
31.784582138061523,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-62,6.309573444801942e-10,,2.901480254423714e-06
32.46307635307312,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-78,1.5848931924611107e-11,,2.901480254423714e-06
33.16271901130676,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-61,7.943282347242822e-10,,2.901480254423714e-06
34.001606464385986,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-62,6.309573444801942e-10,,2.901480254423714e-06
34.67639183998108,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-77,1.9952623149688828e-11,,2.901480254423714e-06
35.37733578681946,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-61,7.943282347242822e-10,,2.901480254423714e-06
36.47627401351929,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-59,1.2589254117941663e-09,,2.901480254423714e-06
37.724706172943115,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-46,2.511886431509582e-08,,2.901480254423714e-06
38.696974992752075,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-61,7.943282347242822e-10,,2.901480254423714e-06
39.53069853782654,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-78,1.5848931924611107e-11,,2.901480254423714e-06
40.355024099349976,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-61,7.943282347242822e-10,,2.901480254423714e-06
42.029545068740845,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-47,1.9952623149688786e-08,,2.901480254423714e-06
42.88400912284851,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-47,1.9952623149688786e-08,,2.901480254423714e-06
43.739269733428955,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-45,3.162277660168379e-08,,2.901480254423714e-06
44.56343483924866,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-57,1.9952623149688828e-09,,2.901480254423714e-06
45.91271448135376,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-46,2.511886431509582e-08,,2.901480254423714e-06
47.4798059463501,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-45,3.162277660168379e-08,,2.901480254423714e-06
48.3648841381073,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-65,3.1622776601683795e-10,,2.901480254423714e-06
49.19848346710205,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-64,3.9810717055349694e-10,,2.901480254423714e-06
49.94690990447998,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-74,3.9810717055349695e-11,,2.901480254423714e-06
50.85356640815735,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-56,2.511886431509582e-09,,2.901480254423714e-06
51.64263987541199,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-54,3.981071705534969e-09,,2.901480254423714e-06
52.513251066207886,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-61,7.943282347242822e-10,,2.901480254423714e-06
53.31598711013794,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-60,1e-09,,2.901480254423714e-06
54.171326875686646,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-57,1.9952623149688828e-09,,2.901480254423714e-06
55.002930641174316,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-61,7.943282347242822e-10,,2.901480254423714e-06
55.940497159957886,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-43,5.011872336272725e-08,,2.901480254423714e-06
57.44531488418579,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-46,2.511886431509582e-08,,2.901480254423714e-06
58.17710900306702,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-45,3.162277660168379e-08,,2.901480254423714e-06
58.994869232177734,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-63,5.011872336272714e-10,,2.901480254423714e-06
59.69726753234863,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-62,6.309573444801942e-10,,2.901480254423714e-06
60.54584765434265,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-50,1e-08,,2.901480254423714e-06
61.28884315490723,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-53,5.011872336272715e-09,,2.901480254423714e-06
61.94752311706543,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-49,1.2589254117941661e-08,,2.901480254423714e-06
62.766573905944824,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-64,3.9810717055349694e-10,,2.901480254423714e-06
63.60530757904053,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-65,3.1622776601683795e-10,,2.901480254423714e-06
64.20564222335815,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-72,6.309573444801942e-11,,2.901480254423714e-06
64.99693727493286,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-60,1e-09,,2.901480254423714e-06
65.85346913337708,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-44,3.981071705534969e-08,,2.901480254423714e-06
66.66654443740845,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-44,3.981071705534969e-08,,2.901480254423714e-06
67.49429273605347,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-65,3.1622776601683795e-10,,2.901480254423714e-06
68.31770920753479,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-63,5.011872336272714e-10,,2.901480254423714e-06
69.01215982437134,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-89,1.258925411794166e-12,,2.901480254423714e-06
69.68832874298096,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-61,7.943282347242822e-10,,2.901480254423714e-06
70.54157757759094,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-50,1e-08,,2.901480254423714e-06
71.80419898033142,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-51,7.943282347242822e-09,,2.901480254423714e-06
72.46976470947266,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-50,1e-08,,2.901480254423714e-06
73.11368107795715,Beacons BLE,Beacon BLE | MAC=49:B2:2C:95:EE:DB,-86,2.5118864315095823e-12,,2.901480254423714e-06
73.85303854942322,Beacons BLE,Beacon BLE | MAC=5E:56:09:E1:3A:52,-71,7.943282347242822e-11,,2.901480254423714e-06
74.66202664375305,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-65,3.1622776601683795e-10,,2.901480254423714e-06
75.40133380889893,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-68,1.584893192461111e-10,,2.901480254423714e-06
76.11314249038696,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-51,7.943282347242822e-09,,2.901480254423714e-06
76.88001132011414,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-55,3.1622776601683795e-09,,2.901480254423714e-06
77.70506024360657,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-52,6.309573444801943e-09,,2.901480254423714e-06
78.53433585166931,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-66,2.511886431509582e-10,,2.901480254423714e-06
79.2312536239624,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-67,1.9952623149688828e-10,,2.901480254423714e-06
79.86602354049683,Beacons BLE,Beacon BLE | MAC=5E:56:09:E1:3A:52,-74,3.9810717055349695e-11,,2.901480254423714e-06
80.75110030174255,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-52,6.309573444801943e-09,,2.901480254423714e-06
81.82488965988159,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-56,2.511886431509582e-09,,2.901480254423714e-06
82.59635591506958,Beacons BLE,Beacon BLE | MAC=44:3A:8F:DB:BE:F3,-56,2.511886431509582e-09,,2.901480254423714e-06
83.35621809959412,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-50,1e-08,,2.901480254423714e-06
84.24429941177368,Beacons BLE,Beacon BLE | MAC=78:A3:A1:D2:EF:58,-66,2.511886431509582e-10,,2.901480254423714e-06
85.83787488937378,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-64,3.9810717055349694e-10,,2.901480254423714e-06
86.7404637336731,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-69,1.2589254117941662e-10,,2.901480254423714e-06
87.59726214408875,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-60,1e-09,,2.901480254423714e-06
88.69983172416687,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-66,2.511886431509582e-10,,2.901480254423714e-06
89.48623609542847,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-79,1.2589254117941662e-11,,2.901480254423714e-06
90.21482372283936,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-84,3.9810717055349695e-12,,2.901480254423714e-06
91.13327217102051,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-49,1.2589254117941661e-08,,2.901480254423714e-06
92.01697635650635,Beacons BLE,Beacon BLE | MAC=68:25:49:81:9A:D4,-46,2.511886431509582e-08,,2.901480254423714e-06
92.80445528030396,Beacons BLE,Beacon BLE | MAC=54:53:06:18:AE:EA,-85,3.1622776601683794e-12,,2.901480254423714e-06
93.56907677650452,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-68,1.584893192461111e-10,,2.901480254423714e-06
94.39802050590515,Beacons BLE,Beacon BLE | MAC=58:F2:8D:B4:D8:7C,-78,1.5848931924611107e-11,,2.901480254423714e-06
