temps_s,mode,message,rssi_dbm,puissance_w,snr_ou_intervalle,energie_totale_j
0.005280494689941406,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-43 dBm | Intervalle=0.000 s,-43,5.011872336272725e-08,0.0,1.3440275817953587e-05
30.862599849700928,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-93 dBm | Intervalle=31.891 s,-93,5.011872336272715e-13,31.89102292060852,1.3440275817953587e-05
47.53053116798401,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-53 dBm | Intervalle=17.101 s,-53,5.011872336272715e-09,17.100974321365356,1.3440275817953587e-05
62.120439767837524,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-93 dBm | Intervalle=14.599 s,-93,5.011872336272715e-13,14.599498987197876,1.3440275817953587e-05
63.21757197380066,Beacons BLE,Beacon BLE | MAC=67:0B:48:00:5A:9A | RSSI=-80 dBm | Intervalle=0.000 s,-80,1e-11,0.0,1.3440275817953587e-05
78.29452157020569,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-46 dBm | Intervalle=16.019 s,-46,2.511886431509582e-08,16.019348859786987,1.3440275817953587e-05
79.48214316368103,Beacons BLE,Beacon BLE | MAC=67:0B:48:00:5A:9A | RSSI=-63 dBm | Intervalle=15.694 s,-63,5.011872336272714e-10,15.694181442260742,1.3440275817953587e-05
99.1252691745758,Beacons BLE,Beacon BLE | MAC=67:0B:48:00:5A:9A | RSSI=-79 dBm | Intervalle=20.629 s,-79,1.2589254117941662e-11,20.62902545928955,1.3440275817953587e-05
110.23125100135803,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-90 dBm | Intervalle=32.088 s,-90,1e-12,32.087846994400024,1.3440275817953587e-05
142.81401419639587,Beacons BLE,Beacon BLE | MAC=54:1F:CD:E5:12:B1 | RSSI=-38 dBm | Intervalle=32.261 s,-38,1.584893192461114e-07,32.2611448764801,1.3440275817953587e-05
159.97787833213806,Beacons BLE,Beacon BLE | MAC=67:0B:48:00:5A:9A | RSSI=-68 dBm | Intervalle=60.881 s,-68,1.584893192461111e-10,60.88087773323059,1.3440275817953587e-05
