temps_s,numero_paquet,taille_message,message,source,rssi_dbm,puissance_w,energie_j
54.644,1,34,"PAQUET,0,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-66,2.511886431509582e-10,1.3726007147087998e-08
55.41,2,54,"PAQUET,1,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-70,1e-10,7.653613090515137e-11
56.411,3,75,"PAQUET,2,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-71,7.943282347242822e-11,7.952730645608986e-11
57.412,4,113,"PAQUET,3,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-70,1e-10,1.0011212825775147e-10
58.413,5,134,"PAQUET,4,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-68,1.584893192461111e-10,1.58723068380379e-10
59.417,6,34,"PAQUET,5,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-69,1.2589254117941662e-10,1.264008772650734e-10
60.42,7,54,"PAQUET,6,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-69,1.2589254117941662e-10,1.2622324778025308e-10
61.417,8,75,"PAQUET,7,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-69,1.2589254117941662e-10,1.2551759229053939e-10
62.419,9,113,"PAQUET,8,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-68,1.584893192461111e-10,1.5872053666489307e-10
63.42,10,134,"PAQUET,9,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-68,1.584893192461111e-10,1.5867882003957271e-10
64.421,11,35,"PAQUET,10,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-69,1.2589254117941662e-10,1.260534822570791e-10
65.425,12,55,"PAQUET,11,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-67,1.9952623149688828e-10,2.0038364688606844e-10
66.423,13,76,"PAQUET,12,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-67,1.9952623149688828e-10,1.9910779908658932e-10
67.424,14,114,"PAQUET,13,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-67,1.9952623149688828e-10,1.997334973008529e-10
68.426,15,135,"PAQUET,14,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-67,1.9952623149688828e-10,1.9981988580211515e-10
69.427,16,35,"PAQUET,15,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-67,1.9952623149688828e-10,1.9970186274504925e-10
70.428,17,55,"PAQUET,16,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-67,1.9952623149688828e-10,1.9989404861790144e-10
71.429,18,76,"PAQUET,17,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-66,2.511886431509582e-10,2.513910048360452e-10
72.431,19,114,"PAQUET,18,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-66,2.511886431509582e-10,2.516763114556825e-10
73.492,20,135,"PAQUET,19,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-68,1.584893192461111e-10,1.6811244538171972e-10
74.433,21,35,"PAQUET,20,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-68,1.584893192461111e-10,1.491803525515473e-10
75.456,22,55,"PAQUET,21,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-67,1.9952623149688828e-10,2.0398870183714703e-10
76.488,23,76,"PAQUET,22,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-66,2.511886431509582e-10,2.5941534334540304e-10
77.437,24,114,"PAQUET,23,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-66,2.511886431509582e-10,2.383926053274021e-10
78.44,25,135,"PAQUET,24,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-67,1.9952623149688828e-10,2.000684905970472e-10
79.437,26,35,"PAQUET,25,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-65,3.1622776601683795e-10,3.1519893165121597e-10
80.449,27,55,"PAQUET,26,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-67,1.9952623149688828e-10,2.0203473284521542e-10
81.443,28,76,"PAQUET,27,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-69,1.2589254117941662e-10,1.251524283310389e-10
82.445,29,114,"PAQUET,28,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-66,2.511886431509582e-10,2.515648598143842e-10
83.446,30,135,"PAQUET,29,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-69,1.2589254117941662e-10,1.259758031244811e-10
