numero_pic,debut_s,fin_s,duree_s,rssi_moy_dbm,puissance_moy_w,energie_j
1,26.406257390975952,206.21062803268433,179.80437064170837,-27.0,1.9952623149688787e-06,0.00035875688480809735
2,266.2165138721466,276.2330138683319,10.016499996185303,-28.0,1.584893192461114e-06,1.587508265624086e-05
3,286.2866907119751,296.1097960472107,9.823105335235596,-29.0,1.2589254117941661e-06,1.2366556929258942e-05
4,316.1586391925812,326.42967414855957,10.271034955978394,-29.0,1.2589254117941661e-06,1.2930466911507374e-05
5,336.0422167778015,346.0456974506378,10.003480672836304,-29.0,1.2589254117941661e-06,1.2593636025425426e-05
6,366.131142616272,376.17337107658386,10.04222846031189,-29.0,1.2589254117941661e-06,1.264241659972924e-05
7,416.12762784957886,436.2208569049835,20.093229055404663,-28.5,1.4125375446227554e-06,2.838244043346391e-05
8,456.00491547584534,466.27419257164,10.269277095794678,-29.0,1.2589254117941661e-06,1.2928253896651713e-05
9,496.2020888328552,526.0787699222565,29.876681089401245,-28.333333333333332,1.4677992676220705e-06,4.385297062200131e-05
10,536.1110148429871,546.1717641353607,10.060749292373657,-29.0,1.2589254117941661e-06,1.2665732945859372e-05
11,556.1705644130707,566.2053234577179,10.034759044647217,-29.0,1.2589254117941661e-06,1.263301316253773e-05
12,586.0652713775635,596.130560874939,10.065289497375488,-29.0,1.2589254117941661e-06,1.2671448725310931e-05
13,696.0536599159241,706.0973045825958,10.043644666671753,-29.0,1.2589254117941661e-06,1.2644199497904017e-05
14,726.1655204296112,736.2086179256439,10.043097496032715,-29.0,1.2589254117941661e-06,1.2643510650881944e-05
15,746.0563590526581,756.1021144390106,10.045755386352539,-29.0,1.2589254117941661e-06,1.2646856736547332e-05
16,766.0988698005676,776.1737051010132,10.074835300445557,-29.0,1.2589254117941661e-06,1.2683466179371824e-05
17,786.2132470607758,856.2207467556,70.00749969482422,-28.857142857142858,1.30102521691083e-06,9.108152247584355e-05
18,866.0581133365631,876.1284184455872,10.070305109024048,-29.0,1.2589254117941661e-06,1.2677763006270994e-05
19,906.2183299064636,916.2827274799347,10.06439757347107,-29.0,1.2589254117941661e-06,1.2670325859642272e-05
20,926.1049630641937,946.1479358673096,20.042972803115845,-29.0,1.2589254117941661e-06,2.5232607789741887e-05
21,956.2151308059692,966.2147850990295,9.999654293060303,-29.0,1.2589254117941661e-06,1.2588818898690242e-05
22,976.0508177280426,986.0961129665375,10.045295238494873,-29.0,1.2589254117941661e-06,1.2646277444716134e-05
23,1006.1892404556274,1016.0222978591919,9.833057403564453,-29.0,1.2589254117941661e-06,1.2379085840978053e-05
