uuid;nombre_trames;nombre_evenements;rssi_moyen_dbm;rssi_mediane_dbm;rssi_min_dbm;rssi_max_dbm;rssi_ecart_type_db;intervalle_moyen_ms;intervalle_mediane_ms;canal_37;canal_38;canal_39
00112233-4455-6677-8899-aabb8c7dfefc;1;1;-58.0;-58.0;-58.0;-58.0;0.0;;;0;1;0
00112233-4455-6677-8899-aabbccddeeff;723;677;-60.64730290456431;-58.0;-70.0;-55.0;4.07588160336203;231.95602531944002;41.59343242645264;167;269;287
00112273-4455-6675-8898-a2abcc7deee7;1;1;-58.0;-58.0;-58.0;-58.0;0.0;;;0;1;0
00118896-801f-6577-8899-aabbccddeeff;1;1;-59.0;-59.0;-59.0;-59.0;0.0;;;0;1;0
00f1023f-4cd1-3235-98dd-afc31f5d6f30;1;1;-66.0;-66.0;-66.0;-66.0;0.0;;;0;0;1
440b10b9-7495-3b13-0abb-991cc15865d1;1;1;-66.0;-66.0;-66.0;-66.0;0.0;;;0;0;1
e20a39f4-73f5-4b04-39aa-5409ad0eea71;1;1;-60.0;-60.0;-60.0;-60.0;0.0;;;0;1;0
e20a39f4-73f5-4bc4-a12f-17d1ad0759f3;1;1;-65.0;-65.0;-65.0;-65.0;0.0;;;0;0;1
e20a39f4-73f5-4bc4-a12f-17d1ad07a961;1055;992;-60.518483412322276;-59.0;-77.0;-55.0;4.062472990616415;234.92995055034908;42.0529842376709;208;399;448
e20a39f4-73f5-4bc4-a12f-17d1ad07a969;1;1;-57.0;-57.0;-57.0;-57.0;0.0;;;0;1;0
e20a39f4-73f5-4bc4-a92f-17d1ad07a961;1;1;-62.0;-62.0;-62.0;-62.0;0.0;;;0;1;0
e20a39f4-73f5-4bc4-d6ae-054dac5b34ec;1;1;-59.0;-59.0;-59.0;-59.0;0.0;;;1;0;0
e20a39f4-73f5-6740-b010-df308cf34fd3;1;1;-66.0;-66.0;-66.0;-66.0;0.0;;;0;0;1
e20a39f4-73f5-cbc4-a12f-17d1ad07a961;1;1;-55.0;-55.0;-55.0;-55.0;0.0;;;0;1;0
e20a71f0-6963-ff94-1131-bc1a6add2b92;1;1;-66.0;-66.0;-66.0;-66.0;0.0;;;0;0;1
