uuid;nombre_trames;nombre_evenements;rssi_moyen_dbm;rssi_min_dbm;rssi_max_dbm;puissance_moyenne_nw;airtime_total_us;energie_totale_j;energie_totale_nj;intervalle_moyen_ms;canal_37;canal_38;canal_39
e20a31f4-73f5-4bc4-a12f-17d1ad07a961;1;1;-65.0;-65.0;-65.0;0.31622776601683794;344.0;1.0878235150979225e-13;0.00010878235150979225;;0;1;0
e20a39b4-73f5-4bc4-a12f-17d1ad07a961;1;1;-66.0;-66.0;-66.0;0.2511886431509582;344.0;8.640889324392961e-14;8.64088932439296e-05;;0;1;0
e20a39f4-6f31-2b43-d1b2-0a0435eb5cd6;1;1;-68.0;-68.0;-68.0;0.1584893192461111;344.0;5.452032582066221e-14;5.452032582066221e-05;;0;0;1
e20a39f4-73f5-0bc4-a12f-17d1ad07a961;1;1;-67.0;-67.0;-67.0;0.19952623149688828;344.0;6.863702363492957e-14;6.863702363492957e-05;;0;1;0
e20a39f4-73f5-4b44-a12f-17d1ad07a961;1;1;-67.0;-67.0;-67.0;0.19952623149688828;360.0;7.182944333887978e-14;7.182944333887977e-05;;0;1;0
e20a39f4-73f5-4bc4-a12b-17d1ad07a961;1;1;-66.0;-66.0;-66.0;0.2511886431509582;344.0;8.640889324392961e-14;8.64088932439296e-05;;0;1;0
e20a39f4-73f5-4bc4-a12f-17d1ad07a161;1;1;-65.0;-65.0;-65.0;0.31622776601683794;344.0;1.0878235150979225e-13;0.00010878235150979225;;0;1;0
e20a39f4-73f5-4bc4-a12f-17d1ad07a961;1003;963;-68.6370887337986;-76.0;-62.0;0.1679249364464061;345048.0;5.7943495690266806e-11;0.05794349569026681;274.40168795161225;95;421;487
e20a39f4-73f5-4bc4-a12f-17d1ad07a9e1;2;2;-66.5;-67.0;-66.0;0.22535743732392322;688.0;1.550459168788592e-13;0.00015504591687885916;39742.32816696167;0;2;0
e20a39f4-73f5-4bc4-a12f-17d1ad17ab61;1;1;-66.0;-66.0;-66.0;0.2511886431509582;344.0;8.640889324392961e-14;8.64088932439296e-05;;0;1;0
e20a39f4-73f5-4bc4-a12f-57d1ad07a961;2;2;-66.5;-67.0;-66.0;0.22535743732392322;688.0;1.550459168788592e-13;0.00015504591687885916;86488.86489868164;0;2;0
e20a39f4-73f5-4bc4-e1bf-0f40c89f6143;1;1;-72.0;-72.0;-72.0;0.06309573444801943;344.0;2.170493265011868e-14;2.1704932650118682e-05;;0;0;1
e20a39f4-73f5-4bca-a12b-57d1ad07a961;1;1;-68.0;-68.0;-68.0;0.1584893192461111;344.0;5.452032582066221e-14;5.452032582066221e-05;;0;1;0
e20a39f4-73f5-cbc4-a12f-17d1ad07a961;2;2;-65.5;-66.0;-65.0;0.28370820458389806;688.0;1.9519124475372186e-13;0.00019519124475372184;;0;2;0
