timestamp_iso;device_id;ancien_niveau;nouveau_niveau;grandeur;valeur;unite
2026-07-22T23:24:22.813691;Appareil_001;INITIAL;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:22.917441;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:23.120474;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:23.222567;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:23.467415;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:23.474785;Appareil_001;ORANGE;VERT;RSSI;-78.0;dBm
2026-07-22T23:24:24.296263;Appareil_001;VERT;ORANGE;RSSI;-61.0;dBm
2026-07-22T23:24:24.298222;Appareil_001;ORANGE;VERT;RSSI;-82.0;dBm
2026-07-22T23:24:24.601528;Appareil_001;VERT;ORANGE;RSSI;-61.0;dBm
2026-07-22T23:24:24.603672;Appareil_001;ORANGE;VERT;RSSI;-84.0;dBm
2026-07-22T23:24:24.806655;Appareil_001;VERT;ORANGE;RSSI;-60.0;dBm
2026-07-22T23:24:25.818179;Appareil_001;ORANGE;VERT;RSSI;-85.0;dBm
2026-07-22T23:24:26.122191;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:26.628436;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:27.433863;Appareil_001;VERT;ORANGE;RSSI;-61.0;dBm
2026-07-22T23:24:27.436115;Appareil_002;INITIAL;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:28.145381;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:28.248426;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:28.352389;Appareil_001;ORANGE;VERT;RSSI;-90.0;dBm
2026-07-22T23:24:28.555582;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:28.658457;Appareil_001;ORANGE;VERT;RSSI;-88.0;dBm
2026-07-22T23:24:29.162740;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:29.468908;Appareil_001;ORANGE;VERT;RSSI;-89.0;dBm
2026-07-22T23:24:30.073755;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:30.077380;Appareil_001;ORANGE;VERT;RSSI;-90.0;dBm
2026-07-22T23:24:30.582593;Appareil_001;VERT;ORANGE;RSSI;-61.0;dBm
2026-07-22T23:24:30.585071;Appareil_001;ORANGE;VERT;RSSI;-88.0;dBm
2026-07-22T23:24:30.888728;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:30.992954;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:31.196374;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:31.503064;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:31.706210;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:31.708820;Appareil_001;ORANGE;VERT;RSSI;-88.0;dBm
2026-07-22T23:24:32.012511;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:32.329577;Appareil_001;ORANGE;VERT;RSSI;-88.0;dBm
2026-07-22T23:24:32.635006;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:33.244125;Appareil_003;INITIAL;VERT;RSSI;-89.0;dBm
2026-07-22T23:24:35.263595;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:35.769132;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:36.078001;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:36.281554;Appareil_001;VERT;ORANGE;RSSI;-61.0;dBm
2026-07-22T23:24:36.585297;Appareil_001;ORANGE;VERT;RSSI;-89.0;dBm
2026-07-22T23:24:36.889459;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:36.892197;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:37.497014;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:37.501693;Appareil_001;ORANGE;VERT;RSSI;-84.0;dBm
2026-07-22T23:24:37.705442;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:37.810571;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:38.114907;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:38.119620;Appareil_001;ORANGE;VERT;RSSI;-85.0;dBm
2026-07-22T23:24:38.323764;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:39.535384;Appareil_001;ORANGE;VERT;RSSI;-84.0;dBm
2026-07-22T23:24:40.143802;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:40.148555;Appareil_001;ORANGE;VERT;RSSI;-85.0;dBm
2026-07-22T23:24:40.352747;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:40.658767;Appareil_001;ORANGE;VERT;RSSI;-86.0;dBm
2026-07-22T23:24:40.862927;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:40.968410;Appareil_001;ORANGE;VERT;RSSI;-85.0;dBm
2026-07-22T23:24:41.172479;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:41.175568;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:41.484436;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:41.792195;Appareil_001;ORANGE;VERT;RSSI;-82.0;dBm
2026-07-22T23:24:42.298419;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:42.403517;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:42.647299;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:42.652169;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:42.856656;Appareil_001;VERT;ORANGE;RSSI;-65.0;dBm
2026-07-22T23:24:42.963320;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:43.196762;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:43.201617;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:43.853405;Appareil_001;VERT;ORANGE;RSSI;-65.0;dBm
2026-07-22T23:24:43.863552;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:44.474743;Appareil_001;VERT;ORANGE;RSSI;-65.0;dBm
2026-07-22T23:24:44.482232;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:45.285957;Appareil_001;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-22T23:24:45.292302;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:45.296057;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:45.299716;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:45.303581;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:45.507604;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:46.320119;Appareil_001;VERT;ORANGE;RSSI;-65.0;dBm
2026-07-22T23:24:46.426017;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:46.630207;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:46.633570;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:46.937787;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:46.941148;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:47.261004;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:47.264557;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:47.468735;Appareil_001;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-22T23:24:47.574890;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:48.299406;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:48.520170;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:48.627088;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:48.630555;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:49.238666;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:49.242053;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:49.546177;Appareil_001;VERT;ORANGE;RSSI;-65.0;dBm
2026-07-22T23:24:49.552582;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:49.757145;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:49.760937;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:50.066238;Appareil_001;VERT;ORANGE;RSSI;-65.0;dBm
2026-07-22T23:24:50.172969;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:50.378758;Appareil_001;VERT;ORANGE;RSSI;-65.0;dBm
2026-07-22T23:24:50.392819;Appareil_001;ORANGE;VERT;RSSI;-77.0;dBm
2026-07-22T23:24:50.597696;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:50.723239;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-22T23:24:50.942301;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:50.946063;Appareil_001;ORANGE;VERT;RSSI;-78.0;dBm
2026-07-22T23:24:51.250718;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:51.254539;Appareil_001;ORANGE;VERT;RSSI;-78.0;dBm
2026-07-22T23:24:51.459808;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:51.563948;Appareil_001;ORANGE;VERT;RSSI;-78.0;dBm
2026-07-22T23:24:51.768672;Appareil_001;VERT;ORANGE;RSSI;-63.0;dBm
2026-07-22T23:24:51.772522;Appareil_001;ORANGE;VERT;RSSI;-80.0;dBm
2026-07-22T23:24:52.077682;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:52.695587;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-22T23:24:52.900182;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:53.210906;Appareil_001;ORANGE;VERT;RSSI;-89.0;dBm
2026-07-22T23:24:53.819808;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:54.638617;Appareil_001;ORANGE;VERT;RSSI;-88.0;dBm
2026-07-22T23:24:54.943711;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:54.947463;Appareil_001;ORANGE;VERT;RSSI;-88.0;dBm
2026-07-22T23:24:55.252578;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:55.256340;Appareil_001;ORANGE;VERT;RSSI;-89.0;dBm
2026-07-22T23:24:55.761969;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:56.384170;Appareil_001;ORANGE;VERT;RSSI;-89.0;dBm
2026-07-22T23:24:56.890829;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-22T23:24:56.998139;Appareil_001;ORANGE;VERT;RSSI;-88.0;dBm
2026-07-22T23:24:57.202959;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:57.307575;Appareil_004;INITIAL;VERT;RSSI;-90.0;dBm
2026-07-22T23:24:57.823514;Appareil_001;ORANGE;VERT;RSSI;-89.0;dBm
2026-07-22T23:24:58.028463;Appareil_001;VERT;ORANGE;RSSI;-62.0;dBm
2026-07-22T23:24:58.334057;Appareil_005;INITIAL;VERT;RSSI;-87.0;dBm
