device_id;temps_vert_s;temps_orange_s;temps_rouge_s;niveau_final;grandeur_surveillee;seuil_vert_orange;seuil_orange_rouge
Appareil_001;52.13062040199816;47.665470484001844;21.34328507300006;VERT;RSSI;-70;-60
Appareil_002;53.96057479199999;44.6734417389996;22.290689054000495;VERT;RSSI;-70;-60
Appareil_003;118.6934093079999;0.0;0.0;VERT;RSSI;-70;-60
Appareil_004;92.3662994629999;0.0;0.0;VERT;RSSI;-70;-60
Appareil_005;89.20121268899993;0.0;0.0;VERT;RSSI;-70;-60
Appareil_006;85.3903219870001;0.0;0.0;VERT;RSSI;-70;-60
Appareil_007;0.0;80.51848816999996;0.0;ORANGE;RSSI;-70;-60
Appareil_008;0.0;75.636468745;0.0;ORANGE;RSSI;-70;-60
Appareil_009;0.0;65.60062103399991;0.0;ORANGE;RSSI;-70;-60
Appareil_010;48.31066246700016;0.0;0.0;VERT;RSSI;-70;-60
Appareil_011;47.480862275999925;0.0;0.0;VERT;RSSI;-70;-60
Appareil_012;22.208801973000163;0.0;0.0;VERT;RSSI;-70;-60
Appareil_013;19.180145435999975;0.0;0.0;VERT;RSSI;-70;-60
