device_id;uuid_principal;adresse_mac_principale;uuid_observes;adresses_mac_observees;nombre_trames;nombre_evenements;rssi_moyen_dbm;rssi_min_dbm;rssi_max_dbm;puissance_moyenne_nw;energie_totale_nj;longueur_moyenne_octets;longueur_min_octets;longueur_max_octets;intervalle_moyen_ms;canal_37;canal_38;canal_39
Appareil_001;00112233-4455-6677-8899-aabbccddeeff;67:26:80:af:92:33;00012ef5-8c4c-2710-2d4a-cdb69f0adfc6 | 00112230-4455-6677-8899-a2bbccddeeff | 00112233-0487-7fd9-1dd0-5730c4428ade | 00112233-4453-6677-8899-aabbccddeef3 | 00112233-4455-6637-b498-6b6fc5101b37 | 00112233-4455-6677-8898-aabbccddeeff | 00112233-4455-6677-8899-aabbcc1defff | 00112233-4455-6677-8899-aabbcc859958 | 00112233-4455-6677-8899-aabbccdd261d | 00112233-4455-6677-8899-aabbccddbe71 | 00112233-4455-6677-8899-aabbccddeee3 | 00112233-4455-6677-8899-aabbccddeeff | 00112233-4455-6677-8899-eabbccddeeff | 00112233-4455-a676-8899-aabbd0ddeeff | 00112233-aeab-b389-b0dd-8d68da221f78 | 001122b3-4455-6677-8899-aabbccddeeff | 001122b3-4455-66f7-8899-eabbccddeedf | 00112a33-4455-6677-8899-aabbccddeeff | 00113231-44bb-66e7-f89a-aafeccddeaf0 | 00192233-4455-667f-88d9-aabbcedd8eff | 011122b3-4455-6677-8899-aabbccddeeff | 4e70d43f-94bb-1e89-45b9-c1a8d3411f99 | a1df701a-963b-60df-a48c-882abb8215ba;45:11:84:e0:59:c0 | 45:15:80:e0:59:c0 | 45:15:84:e0:59:c0 | 45:15:94:e0:59:c0 | 4a:e7:16:85:1e:22 | 4b:15:84:e0:59:c0 | 67:06:80:af:92:3f | 67:26:80:a7:92:33 | 67:26:80:af:92:33 | 67:26:80:af:9a:33;1217;1135;-66.05258833196385;-94.0;-52.0;0.9186227486230045;0.4114340586460012;36.0328677074774;36;52;105.76565261450604;231;469;517
Appareil_002;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;68:46:2a:0e:56:c2;2d9d259c-702f-27cc-6607-ba1a48f6831e | 52b40197-ac08-a5af-9c25-556d74da30c5 | e20a39b4-73f5-4bc4-a12f-17d1ad07a961 | e20a39b4-73f5-4bc4-a13f-17d1ad07a961 | e20a39e8-73f5-4bc4-a12f-17d1ad07a961 | e20a39ec-7335-5bc4-d92f-57d1ad07e961 | e20a39f4-33f5-4bc4-a12f-17d1eb07a9e1 | e20a39f4-7335-4bc4-a12f-17d1ad03a961 | e20a39f4-7335-5bfa-a92f-17d1ad076960 | e20a39f4-7369-d0a7-0b61-9dc0beff77d7 | e20a39f4-7371-4bc4-a12f-17d1ad079961 | e20a39f4-73e5-5bc4-d9ab-50d1ae07ab41 | e20a39f4-73f5-4b44-b497-18c3a6e7af47 | e20a39f4-73f5-4bc4-a117-02150c5fb2c3 | e20a39f4-73f5-4bc4-a12f-17d1a907a961 | e20a39f4-73f5-4bc4-a12f-17d1ad073982 | e20a39f4-73f5-4bc4-a12f-17d1ad076941 | e20a39f4-73f5-4bc4-a12f-17d1ad07a961 | e20a39f4-73f5-4bc4-a12f-17d1ad07a981 | e20a39f4-73f5-4bc4-a12f-17d1ad37a901 | e20a39f4-73f5-4bc4-a12f-17d1add239f5 | e20a39f4-73f5-4bc4-a12f-17d1bd9930c7 | e20a39f4-73f5-4bc4-a12f-19d1ad07a961 | e20a39f4-73f5-4bc4-a12f-57d1ad07eb61 | e20a39f4-73f5-4bc4-a12f-ef65ff512d6a | e20a39f4-73f5-4bc4-a172-6c42d2dfb6fe | e20a39f4-73f5-5bc4-d9af-50d3ad07a941 | e20a39f4-73f5-cbc4-a12f-17d1ad07a161 | e20a39f4-73f5-cbc4-a12f-17d1ad07a961 | e20a39f4-73f5-eb6c-e3f3-f72ddf5c7f97 | e20a39f4-f3f6-4bc4-a12f-17d1ad07a961;68:45:2a:0e:56:c2 | 68:46:2a:0e:52:c2 | 68:46:2a:0e:56:c2 | 68:46:2a:0e:57:c2 | 68:76:2a:0e:56:c2;659;620;-65.77541729893778;-93.0;-52.0;0.9676717120110717;0.2193673064260619;33;33;33;193.54918892818816;156;240;263
Appareil_003;00112233-4455-6677-8499-a5bbccbdeedf;45:15:84:e0:59:c8;00112233-4455-6677-8499-a5bbccbdeedf;45:15:84:e0:59:c8;1;1;-94.0;-94.0;-94.0;0.0003981071705534969;1.4650343876368686e-07;36;36;36;;0;0;1
Appareil_004;00312233-4455-6677-8899-a4bbccdfeeff;67:26:80:8f:92:f3;00312233-4455-6677-8899-a4bbccdfeeff;67:26:80:8f:92:f3;1;1;-80.0;-80.0;-80.0;0.01;3.68e-06;36;36;36;;0;1;0
Appareil_005;0011a233-4455-e677-8899-aabbf45deeff;67:26:c0:af:94:33;0011a233-4455-e677-8899-aabbf45deeff;67:26:c0:af:94:33;1;1;-75.0;-75.0;-75.0;0.03162277660168379;1.1637181789419635e-05;36;36;36;;0;1;0
Appareil_006;00312233-4a55-6677-8899-aabfccddeeff;45:15:84:e4:59:80;00312233-4a55-6677-8899-aabfccddeeff;45:15:84:e4:59:80;1;1;-74.0;-74.0;-74.0;0.03981071705534969;1.4650343876368689e-05;36;36;36;;0;1;0
Appareil_007;e20229f4-73f5-cbc4-a12f-17d1ad079160;68:46:2a:0e:56:42;e20229f4-73f5-cbc4-a12f-17d1ad079160;68:46:2a:0e:56:42;1;1;-69.0;-69.0;-69.0;0.12589254117941662;4.7335595483460644e-05;37;37;37;;0;1;0
Appareil_008;00112233-4451-6677-8899-a2bbc4ddeeff;67:26:c0:af:92:33;00112233-4451-6677-8899-a2bbc4ddeeff;67:26:c0:af:92:33;1;1;-68.0;-68.0;-68.0;0.1584893192461111;5.8324069482568874e-05;36;36;36;;0;1;0
Appareil_009;00112233-4c55-6677-8899-aabbccddeeff;45:15:c4:e0:59:c0;00112233-4c55-6677-8899-aabbccddeeff;45:15:c4:e0:59:c0;1;1;-70.0;-70.0;-70.0;0.1;3.68e-05;36;36;36;;0;1;0
Appareil_010;e21239f4-8bd4-63c5-5217-99d1a3e5b563;68:42:34:0e:4a:c2;e21239f4-8bd4-63c5-5217-99d1a3e5b563;68:42:34:0e:4a:c2;1;1;-76.0;-76.0;-76.0;0.025118864315095822;8.640889324392962e-06;33;33;33;;0;1;0
