device_id;nombre_valeurs;longueur_moyenne_octets;longueur_mediane_octets;longueur_min_octets;longueur_max_octets;ecart_type_octets
Appareil_001;1217;36.0328677074774;36;36;52;0.687178798770589
Appareil_002;659;33;33;33;33;0.0
Appareil_003;1;36;36;36;36;0.0
Appareil_004;1;36;36;36;36;0.0
Appareil_005;1;36;36;36;36;0.0
Appareil_006;1;36;36;36;36;0.0
Appareil_007;1;37;37;37;37;0.0
Appareil_008;1;36;36;36;36;0.0
Appareil_009;1;36;36;36;36;0.0
Appareil_010;1;33;33;33;33;0.0
Appareil_011;1;55;55;55;55;0.0
Appareil_012;1;36;36;36;36;0.0
Appareil_013;1;36;36;36;36;0.0
