timestamp_epoch;elapsed_s;source;technology;band;device;rssi_dbm;adc_code;voltage_v;power_detector_dbm;power_antenna_dbm;power_w;duration_s;energy_j;cumulative_energy_j;packet_length_bytes;pdu_type;channel;alert_level;simulated
1787057135.3021412;1.9593351439998514;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-42.0;;;;-42.0;6.30957344480193e-08;0.1;6.30957344480193e-09;6.30957344480193e-09;;;;ROUGE;False
1787057135.36553;2.022725795000042;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-42.0;;;;-42.0;6.30957344480193e-08;0.1;6.30957344480193e-09;1.261914688960386e-08;;;;ROUGE;False
1787057135.4659808;2.123174678000396;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-42.0;;;;-42.0;6.30957344480193e-08;0.1;6.30957344480193e-09;1.892872033440579e-08;;;;ROUGE;False
1787057135.5652645;2.22245814300004;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-42.0;;;;-42.0;6.30957344480193e-08;0.1;6.30957344480193e-09;2.523829377920772e-08;;;;ROUGE;False
1787057135.6675427;2.3247371309998925;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-42.0;;;;-42.0;6.30957344480193e-08;0.1;6.30957344480193e-09;3.154786722400965e-08;;;;ROUGE;False
1787057135.7855556;2.4427498120003293;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-42.0;;;;-42.0;6.30957344480193e-08;0.1;6.30957344480193e-09;3.785744066881158e-08;;;;ROUGE;False
1787057135.8778436;2.535039688999859;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-42.0;;;;-42.0;6.30957344480193e-08;0.1;6.30957344480193e-09;4.416701411361351e-08;;;;ROUGE;False
1787057135.9679928;2.625186051000128;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-42.0;;;;-42.0;6.30957344480193e-08;0.1;6.30957344480193e-09;5.047658755841544e-08;;;;ROUGE;False
1787057136.0689313;2.7261258890002864;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;6.047658755841543e-08;;;;ROUGE;False
1787057136.1657;2.8228933030004555;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;7.047658755841543e-08;;;;ROUGE;False
1787057136.2720246;2.9292215000004944;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;8.047658755841543e-08;;;;ROUGE;False
1787057136.3655798;3.0227739570000267;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-39.0;;;;-39.0;1.2589254117941662e-07;0.1;1.2589254117941663e-08;9.306584167635709e-08;;;;ROUGE;False
1787057136.4725118;3.1297095660002014;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-38.0;;;;-38.0;1.584893192461114e-07;0.1;1.5848931924611143e-08;1.0891477360096824e-07;;;;ROUGE;False
1787057136.5664785;3.2236717420000787;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-38.0;;;;-38.0;1.584893192461114e-07;0.1;1.5848931924611143e-08;1.2476370552557937e-07;;;;ROUGE;False
1787057136.6668956;3.3240891820005345;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-36.0;;;;-36.0;2.5118864315095823e-07;0.1;2.5118864315095824e-08;1.498825698406752e-07;;;;ROUGE;False
1787057136.7683644;3.425558732999889;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-36.0;;;;-36.0;2.5118864315095823e-07;0.1;2.5118864315095824e-08;1.75001434155771e-07;;;;ROUGE;False
1787057136.867534;3.5247275360006824;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-35.0;;;;-35.0;3.162277660168379e-07;0.1;3.162277660168379e-08;2.066242107574548e-07;;;;ROUGE;False
1787057136.9668124;3.624005352000495;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-35.0;;;;-35.0;3.162277660168379e-07;0.1;3.162277660168379e-08;2.382469873591386e-07;;;;ROUGE;False
1787057137.0669043;3.7240971990004255;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-34.0;;;;-34.0;3.981071705534969e-07;0.1;3.9810717055349696e-08;2.780577044144883e-07;;;;ROUGE;False
1787057137.1676407;3.8248339370002213;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-34.0;;;;-34.0;3.981071705534969e-07;0.1;3.9810717055349696e-08;3.1786842146983797e-07;;;;ROUGE;False
1787057137.2669964;3.9241893600001276;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-34.0;;;;-34.0;3.981071705534969e-07;0.1;3.9810717055349696e-08;3.5767913852518765e-07;;;;ROUGE;False
1787057137.3672993;4.024493158000041;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-34.0;;;;-34.0;3.981071705534969e-07;0.1;3.9810717055349696e-08;3.974898555805373e-07;;;;ROUGE;False
1787057137.4667351;4.123929355000655;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-34.0;;;;-34.0;3.981071705534969e-07;0.1;3.9810717055349696e-08;4.37300572635887e-07;;;;ROUGE;False
1787057137.566786;4.223979000000327;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-35.0;;;;-35.0;3.162277660168379e-07;0.1;3.162277660168379e-08;4.689233492375708e-07;;;;ROUGE;False
1787057137.6668444;4.324037923000105;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-35.0;;;;-35.0;3.162277660168379e-07;0.1;3.162277660168379e-08;5.005461258392546e-07;;;;ROUGE;False
1787057137.7670634;4.424256539999988;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-35.0;;;;-35.0;3.162277660168379e-07;0.1;3.162277660168379e-08;5.321689024409384e-07;;;;ROUGE;False
1787057137.867084;4.52427803899991;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-35.0;;;;-35.0;3.162277660168379e-07;0.1;3.162277660168379e-08;5.637916790426222e-07;;;;ROUGE;False
1787057137.9672306;4.62442384499991;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-34.0;;;;-34.0;3.981071705534969e-07;0.1;3.9810717055349696e-08;6.036023960979719e-07;;;;ROUGE;False
1787057138.0672631;4.724456547000045;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-34.0;;;;-34.0;3.981071705534969e-07;0.1;3.9810717055349696e-08;6.434131131533216e-07;;;;ROUGE;False
1787057138.0897462;4.746940136000376;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-64.0;;;;-64.0;3.9810717055349694e-10;0.000368;1.4650343876368688e-13;1.4650343876368688e-13;36;0x00;37;ORANGE;False
1787057138.0901518;4.747344244000487;BLE Sniffer;Appareil BLE;2,4 GHz BLE;e7:66:27:46:2d:a7;-68.0;;;;-68.0;1.584893192461111e-10;0.000376;5.959198403653776e-14;5.959198403653776e-14;37;0x00;38;ORANGE;False
1787057138.1675053;4.824698534000163;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-33.0;;;;-33.0;5.011872336272725e-07;0.1;5.011872336272725e-08;6.935318365160489e-07;;;;ROUGE;False
1787057138.1907392;4.847932249000223;BLE Sniffer;Appareil BLE;2,4 GHz BLE;e7:66:27:46:2d:a7;-70.0;;;;-70.0;1e-10;0.000376;3.76e-14;9.719198403653776e-14;37;0x00;39;ORANGE;False
1787057138.2676134;4.924806861000434;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-33.0;;;;-33.0;5.011872336272725e-07;0.1;5.011872336272725e-08;7.436505598787761e-07;;;;ROUGE;False
1787057138.3676834;5.024876911999854;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-35.0;;;;-35.0;3.162277660168379e-07;0.1;3.162277660168379e-08;7.752733364804599e-07;;;;ROUGE;False
1787057138.3921456;5.049339023999892;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-64.0;;;;-64.0;3.9810717055349694e-10;0.000368;1.4650343876368688e-13;2.9300687752737377e-13;36;0x00;37;ORANGE;False
1787057138.4676645;5.124857542999962;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-35.0;;;;-35.0;3.162277660168379e-07;0.1;3.162277660168379e-08;8.068961130821437e-07;;;;ROUGE;False
1787057138.5693634;5.2265573949998725;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-36.0;;;;-36.0;2.5118864315095823e-07;0.1;2.5118864315095824e-08;8.320149773972396e-07;;;;ROUGE;False
1787057138.668009;5.325202208000519;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-36.0;;;;-36.0;2.5118864315095823e-07;0.1;2.5118864315095824e-08;8.571338417123354e-07;;;;ROUGE;False
1787057138.6946607;5.3518551100005425;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-66.0;;;;-66.0;2.511886431509582e-10;0.000368;9.243742067955262e-14;3.8544429820692636e-13;36;0x00;38;ORANGE;False
1787057138.6947474;5.351939735000087;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-63.0;;;;-63.0;5.011872336272714e-10;0.000368;1.8443690197483588e-13;5.698812001817622e-13;36;0x00;39;ORANGE;False
1787057138.7682247;5.425418085000274;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-37.0;;;;-37.0;1.9952623149688787e-07;0.1;1.995262314968879e-08;8.770864648620242e-07;;;;ROUGE;False
1787057138.868065;5.525258001000111;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-37.0;;;;-37.0;1.9952623149688787e-07;0.1;1.995262314968879e-08;8.970390880117131e-07;;;;ROUGE;False
1787057138.9747062;5.631899699999849;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-38.0;;;;-38.0;1.584893192461114e-07;0.1;1.5848931924611143e-08;9.128880199363242e-07;;;;ROUGE;False
1787057138.9967494;5.653941960000338;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-64.0;;;;-64.0;3.9810717055349694e-10;0.000368;1.4650343876368688e-13;7.163846389454491e-13;36;0x00;37;ORANGE;False
1787057139.068219;5.725412714000413;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-38.0;;;;-38.0;1.584893192461114e-07;0.1;1.5848931924611143e-08;9.287369518609354e-07;;;;ROUGE;False
1787057139.1684391;5.825632628000676;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-39.0;;;;-39.0;1.2589254117941662e-07;0.1;1.2589254117941663e-08;9.413262059788771e-07;;;;ROUGE;False
1787057139.1985557;5.855748898999991;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-63.0;;;;-63.0;5.011872336272714e-10;0.000368;1.8443690197483588e-13;9.00821540920285e-13;36;0x00;38;ORANGE;False
1787057139.2684388;5.925632479000342;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-39.0;;;;-39.0;1.2589254117941662e-07;0.1;1.2589254117941663e-08;9.539154600968187e-07;;;;ROUGE;False
1787057139.2991314;5.956325849000677;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-62.0;;;;-62.0;6.309573444801942e-10;0.000368;2.321923027687115e-13;1.1330138436889965e-12;36;0x00;39;ORANGE;False
1787057139.3685029;6.0256957900001;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;9.639154600968186e-07;;;;ROUGE;False
1787057139.468625;6.125818598000478;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;9.739154600968185e-07;;;;ROUGE;False
1787057139.5009294;6.158122900000308;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-62.0;;;;-62.0;6.309573444801942e-10;0.000368;2.321923027687115e-13;1.3652061464577079e-12;36;0x00;37;ORANGE;False
1787057139.568698;6.225892037999984;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;9.839154600968184e-07;;;;ROUGE;False
1787057139.6014795;6.25867400000061;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-60.0;;;;-60.0;1e-09;0.000368;3.6800000000000005e-13;1.733206146457708e-12;36;0x00;38;ORANGE;False
1787057139.601553;6.258745385000111;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-60.0;;;;-60.0;1e-09;0.000368;3.6800000000000005e-13;2.101206146457708e-12;36;0x00;39;ORANGE;False
1787057139.6706614;6.327855710000222;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;9.939154600968183e-07;;;;ROUGE;False
1787057139.7689257;6.426118914000654;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;1.0039154600968182e-06;;;;ROUGE;False
1787057139.8031561;6.460350224000649;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-62.0;;;;-62.0;6.309573444801942e-10;0.000368;2.321923027687115e-13;2.3333984492264194e-12;36;0x00;37;ORANGE;False
1787057139.803536;6.460728388999996;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-60.0;;;;-60.0;1e-09;0.000368;3.6800000000000005e-13;2.7013984492264194e-12;36;0x00;38;ORANGE;False
1787057139.8035808;6.460772960000213;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-59.0;;;;-59.0;1.2589254117941663e-09;0.000368;4.632845515402531e-13;3.1646830007666728e-12;36;0x00;39;ORANGE;False
1787057139.8688886;6.526082749000125;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;1.013915460096818e-06;;;;ROUGE;False
1787057139.9659011;6.623094315999879;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;1.023915460096818e-06;;;;ROUGE;False
1787057140.069136;6.726328994000141;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-40.0;;;;-40.0;1e-07;0.1;1e-08;1.033915460096818e-06;;;;ROUGE;False
1787057140.1059926;6.763186163000682;BLE Sniffer;Appareil BLE;2,4 GHz BLE;e7:66:27:46:2d:a7;-68.0;;;;-68.0;1.584893192461111e-10;0.000376;5.959198403653776e-14;1.5678396807307554e-13;37;0x00;37;ORANGE;False
1787057140.169242;6.826436246999947;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-39.0;;;;-39.0;1.2589254117941662e-07;0.1;1.2589254117941663e-08;1.0465047142147595e-06;;;;ROUGE;False
1787057140.20654;6.863733596000202;BLE Sniffer;Appareil BLE;2,4 GHz BLE;e7:66:27:46:2d:a7;-69.0;;;;-69.0;1.2589254117941662e-10;0.000376;4.7335595483460646e-14;2.0411956355653617e-13;37;0x00;38;ORANGE;False
1787057140.2066128;6.86380518399983;BLE Sniffer;Appareil BLE;2,4 GHz BLE;e7:66:27:46:2d:a7;-70.0;;;;-70.0;1e-10;0.000376;3.76e-14;2.417195635565362e-13;37;0x00;39;ORANGE;False
1787057140.2069564;6.864148628999828;BLE Sniffer;Appareil BLE;2,4 GHz BLE;7c:72:e7:1e:ad:dc;-86.0;;;;-86.0;2.5118864315095823e-12;0.000176;4.4209201194568646e-16;4.4209201194568646e-16;12;0x03;37;VERT;False
1787057140.2692032;6.926396841000496;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-39.0;;;;-39.0;1.2589254117941662e-07;0.1;1.2589254117941663e-08;1.059093968332701e-06;;;;ROUGE;False
1787057140.3694115;7.026604941000187;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-38.0;;;;-38.0;1.584893192461114e-07;0.1;1.5848931924611143e-08;1.0749429002573121e-06;;;;ROUGE;False
1787057140.4084752;7.065668898000695;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-59.0;;;;-59.0;1.2589254117941663e-09;0.000368;4.632845515402531e-13;3.627967552306926e-12;36;0x00;38;ORANGE;False
1787057140.4085462;7.065738727999815;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-59.0;;;;-59.0;1.2589254117941663e-09;0.000368;4.632845515402531e-13;4.0912521038471794e-12;36;0x00;39;ORANGE;False
1787057140.4693682;7.126561461000165;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-38.0;;;;-38.0;1.584893192461114e-07;0.1;1.5848931924611143e-08;1.0907918321819232e-06;;;;ROUGE;False
1787057140.5694697;7.226663363000625;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-38.0;;;;-38.0;1.584893192461114e-07;0.1;1.5848931924611143e-08;1.1066407641065343e-06;;;;ROUGE;False
1787057140.6703658;7.327559035999911;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-38.0;;;;-38.0;1.584893192461114e-07;0.1;1.5848931924611143e-08;1.1224896960311453e-06;;;;ROUGE;False
1787057140.7112987;7.368493392999881;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-62.0;;;;-62.0;6.309573444801942e-10;0.000368;2.321923027687115e-13;4.323444406615891e-12;36;0x00;37;ORANGE;False
1787057140.7113862;7.368578481000441;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-59.0;;;;-59.0;1.2589254117941663e-09;0.000368;4.632845515402531e-13;4.7867289581561446e-12;36;0x00;38;ORANGE;False
1787057140.711426;7.368618350000361;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-59.0;;;;-59.0;1.2589254117941663e-09;0.000368;4.632845515402531e-13;5.250013509696398e-12;36;0x00;39;ORANGE;False
1787057140.7696648;7.42685814700053;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-38.0;;;;-38.0;1.584893192461114e-07;0.1;1.5848931924611143e-08;1.1383386279557564e-06;;;;ROUGE;False
1787057140.8696566;7.52684988800047;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-38.0;;;;-38.0;1.584893192461114e-07;0.1;1.5848931924611143e-08;1.1541875598803675e-06;;;;ROUGE;False
1787057140.913519;7.570712681000259;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-62.0;;;;-62.0;6.309573444801942e-10;0.000368;2.321923027687115e-13;5.48220581246511e-12;36;0x00;37;ORANGE;False
1787057140.9698653;7.627059301999907;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-37.0;;;;-37.0;1.9952623149688787e-07;0.1;1.995262314968879e-08;1.1741401830300562e-06;;;;ROUGE;False
1787057141.014068;7.671261410000625;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-59.0;;;;-59.0;1.2589254117941663e-09;0.000368;4.632845515402531e-13;5.945490364005363e-12;36;0x00;38;ORANGE;False
1787057141.014472;7.671664333000081;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-60.0;;;;-60.0;1e-09;0.000368;3.6800000000000005e-13;6.313490364005363e-12;36;0x00;39;ORANGE;False
1787057141.0698247;7.72701774899997;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-37.0;;;;-37.0;1.9952623149688787e-07;0.1;1.995262314968879e-08;1.194092806179745e-06;;;;ROUGE;False
1787057141.1700587;7.827252124000552;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-36.0;;;;-36.0;2.5118864315095823e-07;0.1;2.5118864315095824e-08;1.2192116704948408e-06;;;;ROUGE;False
1787057141.2160983;7.873291874000643;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-63.0;;;;-63.0;5.011872336272714e-10;0.000368;1.8443690197483588e-13;6.497927265980199e-12;36;0x00;37;ORANGE;False
1787057141.2700758;7.927269104000516;Wi-Fi;Wi-Fi;2,4/5 GHz;wlan0;-36.0;;;;-36.0;2.5118864315095823e-07;0.1;2.5118864315095824e-08;1.2443305348099366e-06;;;;ROUGE;False
1787057141.3166916;7.973886601000231;BLE Sniffer;iBeacon;2,4 GHz BLE;55:f4:c2:ef:e8:8c;-61.0;;;;-61.0;7.943282347242822e-10;0.000368;2.9231279037853586e-13;6.790240056358735e-12;36;0x00;38;ORANGE;False
