timestamp_epoch;elapsed_s;source;technology;band;device;rssi_dbm;adc_code;voltage_v;power_detector_dbm;power_antenna_dbm;power_w;duration_s;energy_j;cumulative_energy_j;packet_length_bytes;pdu_type;channel;alert_level;simulated
1786215722.5793912;4.822184070999356;BLE Sniffer;Appareil BLE;2,4 GHz BLE;08:2d:b4:81:af:11;-64.0;;;;-64.0;3.9810717055349694e-10;0.000376;1.4968829612811484e-13;1.4968829612811484e-13;37;0x02;38;ORANGE;False
1786215722.6808867;4.923681534000025;BLE Sniffer;Appareil BLE;2,4 GHz BLE;f8:3e:7b:3b:21:b0;-68.0;;;;-68.0;1.584893192461111e-10;0.00034399999999999996;5.4520325820662207e-14;5.4520325820662207e-14;33;0x00;39;ORANGE;False
1786215722.681054;4.9238459779999175;BLE Sniffer;Appareil BLE;2,4 GHz BLE;08:2d:b4:81:af:11;-67.0;;;;-67.0;1.9952623149688828e-10;0.000376;7.502186304282999e-14;2.2471015917094483e-13;37;0x02;37;ORANGE;False
1786215722.782377;5.02517016299953;BLE Sniffer;iBeacon;2,4 GHz BLE;77:5f:13:d2:2a:0c;-61.0;;;;-61.0;7.943282347242822e-10;0.000368;2.9231279037853586e-13;2.9231279037853586e-13;36;0x00;38;ORANGE;False
1786215722.7824624;5.025253699999666;BLE Sniffer;iBeacon;2,4 GHz BLE;77:5f:13:d2:2a:0c;-67.0;;;;-67.0;1.9952623149688828e-10;0.000368;7.342565319085489e-14;3.6573844356939076e-13;36;0x00;39;ORANGE;False
1786215722.7825038;5.02529503400001;BLE Sniffer;Appareil BLE;2,4 GHz BLE;e8:d0:3c:30:07:40;-65.0;;;;-65.0;3.1622776601683795e-10;0.00035999999999999997;1.1384199576606166e-13;1.1384199576606166e-13;35;0x00;37;ORANGE;False
1786215722.9044268;5.147222071000215;BLE Sniffer;Appareil BLE;2,4 GHz BLE;e8:d0:3c:30:07:40;-72.0;;;;-72.0;6.309573444801942e-11;0.00035999999999999997;2.271446440128699e-14;1.3655646016734866e-13;35;0x00;38;ORANGE;False
1786215722.9046526;5.147443662999649;BLE Sniffer;Appareil BLE;2,4 GHz BLE;e8:d0:3c:30:07:40;-69.0;;;;-69.0;1.2589254117941662e-10;0.00035999999999999997;4.532131482458998e-14;1.8187777499193863e-13;35;0x00;39;ORANGE;False
1786215722.9047022;5.14749329299957;BLE Sniffer;Appareil BLE;2,4 GHz BLE;08:2d:b4:81:af:11;-69.0;;;;-69.0;1.2589254117941662e-10;0.000376;4.7335595483460646e-14;2.7204575465440546e-13;37;0x02;37;ORANGE;False
1786215722.9047484;5.14753957099947;BLE Sniffer;Appareil BLE;2,4 GHz BLE;61:1c:7b:61:64:87;-72.0;;;;-72.0;6.309573444801942e-11;0.000272;1.7162039769861283e-14;1.7162039769861283e-14;24;0x00;38;ORANGE;False
1786215723.0062234;5.249016384999777;BLE Sniffer;Appareil BLE;2,4 GHz BLE;61:1c:7b:61:64:87;-75.0;;;;-75.0;3.1622776601683794e-11;0.000272;8.601395235657992e-15;2.5763435005519277e-14;24;0x00;39;ORANGE;False
1786215723.0063052;5.249096329999702;BLE Sniffer;Appareil BLE;2,4 GHz BLE;08:2d:b4:81:af:11;-68.0;;;;-68.0;1.584893192461111e-10;0.000376;5.959198403653776e-14;3.3163773869094323e-13;37;0x02;37;ORANGE;False
1786215723.006348;5.249138829999538;BLE Sniffer;Appareil BLE;2,4 GHz BLE;c9:c3:f2:4b:53:bf;-73.0;;;;-73.0;5.011872336272715e-11;0.000192;9.622794885643613e-15;9.622794885643613e-15;14;0x02;38;ORANGE;False
1786215723.0063837;5.249174755999775;BLE Sniffer;iBeacon;2,4 GHz BLE;77:5f:13:d2:2a:0c;-68.0;;;;-68.0;1.584893192461111e-10;0.000368;5.832406948256888e-14;4.2406251305195964e-13;36;0x00;39;ORANGE;False
1786215723.115675;5.358471237000231;BLE Sniffer;Appareil BLE;2,4 GHz BLE;08:2d:b4:81:af:11;-67.0;;;;-67.0;1.9952623149688828e-10;0.000376;7.502186304282999e-14;4.066596017337732e-13;37;0x02;37;ORANGE;False
1786215723.1158073;5.358598162999442;BLE Sniffer;Appareil BLE;2,4 GHz BLE;61:1c:7b:61:64:87;-72.0;;;;-72.0;6.309573444801942e-11;0.000272;1.7162039769861283e-14;4.292547477538056e-14;24;0x00;38;ORANGE;False
1786215723.115849;5.358640051999828;BLE Sniffer;Appareil BLE;2,4 GHz BLE;61:1c:7b:61:64:87;-75.0;;;;-75.0;3.1622776601683794e-11;0.000272;8.601395235657992e-15;5.1526870011038554e-14;24;0x00;39;ORANGE;False
1786215723.2170947;5.459887459000129;BLE Sniffer;Appareil BLE;2,4 GHz BLE;e8:d0:3c:30:07:40;-66.0;;;;-66.0;2.511886431509582e-10;0.00035999999999999997;9.042791153434495e-14;2.723056865262836e-13;35;0x00;37;ORANGE;False
1786215723.2171705;5.459961606999968;BLE Sniffer;Appareil BLE;2,4 GHz BLE;08:2d:b4:81:af:11;-64.0;;;;-64.0;3.9810717055349694e-10;0.000376;1.4968829612811484e-13;5.563478978618881e-13;37;0x02;38;ORANGE;False
1786215723.3182247;5.561019736999697;BLE Sniffer;Appareil BLE;2,4 GHz BLE;e8:d0:3c:30:07:40;-70.0;;;;-70.0;1e-10;0.00035999999999999997;3.6e-14;3.083056865262836e-13;35;0x00;39;ORANGE;False
1786215723.3183427;5.561133662999964;BLE Sniffer;Appareil BLE;2,4 GHz BLE;08:2d:b4:81:af:11;-68.0;;;;-68.0;1.584893192461111e-10;0.000376;5.959198403653776e-14;6.159398818984258e-13;37;0x02;37;ORANGE;False
1786215723.3183906;5.561181903999568;BLE Sniffer;iBeacon;2,4 GHz BLE;77:5f:13:d2:2a:0c;-61.0;;;;-61.0;7.943282347242822e-10;0.000368;2.9231279037853586e-13;7.163753034304954e-13;36;0x00;38;ORANGE;False
1786215723.3184679;5.561259106999387;BLE Sniffer;iBeacon;2,4 GHz BLE;77:5f:13:d2:2a:0c;-68.0;;;;-68.0;1.584893192461111e-10;0.000368;5.832406948256888e-14;7.746993729130643e-13;36;0x00;39;ORANGE;False
1786215723.4205446;5.663337051999406;BLE Sniffer;Appareil BLE;2,4 GHz BLE;08:2d:b4:81:af:11;-67.0;;;;-67.0;1.9952623149688828e-10;0.000376;7.502186304282999e-14;6.909617449412558e-13;37;0x02;37;ORANGE;False
1786215723.4206235;5.663414847999775;BLE Sniffer;Appareil BLE;2,4 GHz BLE;61:1c:7b:61:64:87;-73.0;;;;-73.0;5.011872336272715e-11;0.000272;1.3632292754661785e-14;6.515916276570034e-14;24;0x00;38;ORANGE;False
1786215723.4206629;5.663453866999589;BLE Sniffer;Appareil BLE;2,4 GHz BLE;61:1c:7b:61:64:87;-77.0;;;;-77.0;1.9952623149688828e-11;0.000272;5.4271134967153616e-15;7.05862762624157e-14;24;0x00;39;VERT;False
1786215723.5216544;5.764447644000029;BLE Sniffer;Appareil BLE;2,4 GHz BLE;08:2d:b4:81:af:11;-67.0;;;;-67.0;1.9952623149688828e-10;0.000376;7.502186304282999e-14;7.659836079840858e-13;37;0x02;37;ORANGE;False
1786215723.5217779;5.764569404000213;BLE Sniffer;Appareil BLE;2,4 GHz BLE;08:2d:b4:81:af:11;-65.0;;;;-65.0;3.1622776601683795e-10;0.000376;1.1890164002233106e-13;8.848852480064168e-13;37;0x02;38;ORANGE;False
