device_id;uuid_principal;adresse_mac_principale;uuid_observes;adresses_mac_observees;nombre_trames;nombre_evenements;rssi_moyen_dbm;rssi_min_dbm;rssi_max_dbm;puissance_moyenne_nw;energie_totale_nj;longueur_moyenne_octets;longueur_min_octets;longueur_max_octets;intervalle_moyen_ms;canal_37;canal_38;canal_39
Appareil_002;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;7f:b2:48:08:01:fd;5219bc56-156b-3569-e033-010fbfdbfca9 | e20a31f4-73f5-5bc4-d92f-57d1ad07a941 | e20a39f4-4bf5-4bc4-a12f-17d1ad07a961 | e20a39f4-7335-5bc4-a12f-17d1ad07a961 | e20a39f4-7375-4bc4-a12f-17d1ad07a961 | e20a39f4-73b5-4bc6-a12f-17d1ad07a961 | e20a39f4-73f5-4bc0-a12f-17d1ad07a961 | e20a39f4-73f5-4bc4-612f-17d1ad07a961 | e20a39f4-73f5-4bc4-a12f-07d1ad07a965 | e20a39f4-73f5-4bc4-a12f-13d1ad07a941 | e20a39f4-73f5-4bc4-a12f-17d1ad07a941 | e20a39f4-73f5-4bc4-a12f-17d1ad07a961 | e20a39f4-73f5-4bc4-e12f-17d1ad07a961 | e20a39f4-73f5-5bc4-a12f-17d1ad07a961 | e20a39f4-73f5-5bc4-a92f-17d1ad07a961 | e20a39f4-73f5-5bc4-a92f-17d1ad77b7e5 | e20a39f4-73f5-5bc6-a12f-17d1ad07a961 | e20a39f4-73f5-efa4-99a7-d760a47d17b7 | e23439f4-73f5-4bc4-5127-1bc1ad0fa961;7f:b2:48:00:01:fd | 7f:b2:48:08:01:f9 | 7f:b2:48:08:01:fd | 7f:b2:4c:08:01:fd | 7f:c2:48:09:20:fd;292;267;-63.15068493150685;-71.0;-57.0;0.854526966781775;0.08583712475929574;33.00684931506849;33;35;226.12945119241127;58;109;125
Appareil_003;00112233-4455-6677-8899-aabbccddeeff;4b:9c:4c:e8:b6:be;0011027d-acb3-30d6-2198-da9f8f898edc | 00112233-0455-6677-8899-aabbccddeeff | 00112233-1455-6677-8c99-aabbccddeeff | 00112233-3455-6677-8899-aabbccddefff | 00112233-4425-6677-8898-aabb4cdceebf | 00112233-4455-5677-8899-aabbccddeeff | 00112233-4455-6670-8c99-aabbccddeeff | 00112233-4455-6673-8899-aabbccddeeff | 00112233-4455-6677-8819-7745dbe10593 | 00112233-4455-6677-8899-a4bbccddeef0 | 00112233-4455-6677-8899-a6bb4cddeeff | 00112233-4455-6677-8899-aa814341c6ec | 00112233-4455-6677-8899-aabaccddeeff | 00112233-4455-6677-8899-aabb4cddeeff | 00112233-4455-6677-8899-aabbc0ddeeff | 00112233-4455-6677-8899-aabbccddeeff | 00112233-4455-6677-8899-aabbd0ddeeff | 00112233-4455-6677-8899-aabbdcdd8ef1 | 00112233-4455-6677-8899-aabbdcddeeff | 00112233-4455-6677-8899-bab8ccddeef7 | 00112233-4455-6677-8a99-aabbccddeeff | 00112233-4455-6677-9899-aabbccddeeff | 00112233-4455-7677-8899-aabbccddeefe | 00112233-4655-6677-8899-aabbccddeeff | 00112233-5825-6677-8b98-aabb4cd8eeff | 00112233-c9f4-8d73-bf91-85ba0e172b38 | 001122b3-4455-6677-8899-aabbccddeeff | 00132233-4455-6677-8899-aabbccdfeeff | 00192233-4455-6677-8899-aabbccddeeff | 08912033-4556-6677-b8b9-aabbccdfeef7 | 10112233-4455-6677-8899-aabbccddeeff | 10112233-4457-6677-8899-aabbccddeeff | 80112233-4455-6677-8899-aabbccddeeff | 86102233-4455-6677-8899-aabbf0ddeeff;29:2c:68:6e:e4:67 | 49:0c:68:6e:e4:67 | 49:2c:68:6e:e4:67 | 49:2c:68:6e:e4:77 | 49:2c:68:6e:e6:67 | 49:2c:69:6e:e4:67 | 4b:9c:4b:e8:ae:be | 4b:9c:4c:e0:b6:be | 4b:9c:4c:e8:b6:be;649;592;-63.12326656394453;-74.0;-56.0;0.8366700070417765;0.19982357112180155;36;36;36;101.91273084146722;181;214;254
Appareil_004;00112233-1455-6677-8899-aabbccddeeff;4b:9c:4c:e8:b7:be;00112233-1455-6677-8899-aabbccddeeff;4b:9c:4c:e8:b7:be;1;1;-71.0;-71.0;-71.0;0.07943282347242822;2.9231279037853582e-05;36;36;36;;0;1;0
Appareil_005;00312233-4455-6677-8899-aabbccddeeff;6b:9c:4c:e8:b6:be;00312233-4455-6677-8899-aabbccddeeff;6b:9c:4c:e8:b6:be;1;1;-70.0;-70.0;-70.0;0.1;3.68e-05;36;36;36;;0;1;0
Appareil_006;e20a39f4-73f5-4bc4-a1af-17d1ad07a961;7f:b0:4c:08:01:fd;e20a39f4-73f5-4bc4-a1af-17d1ad07a961;7f:b0:4c:08:01:fd;1;1;-71.0;-71.0;-71.0;0.07943282347242822;2.7324891274515306e-05;33;33;33;;0;1;0
Appareil_007;10112233-4455-6677-8899-aabbccddeebf;4b:9c:0c:e8:b6:be;10112233-4455-6677-8899-aabbccddeebf;4b:9c:0c:e8:b6:be;1;1;-70.0;-70.0;-70.0;0.1;3.68e-05;36;36;36;;0;1;0
Appareil_008;e20a18f4-73f5-4bc4-a12f-17d1ad07a961;7f:b2:08:08:01:fd;e20a18f4-73f5-4bc4-a12f-17d1ad07a961;7f:b2:08:08:01:fd;1;1;-71.0;-71.0;-71.0;0.07943282347242822;2.7324891274515306e-05;33;33;33;;0;1;0
Appareil_009;e20a39f4-73f5-4bd4-a12f-17d1ad17ab61;7f:b2:48:08:11:fd;e20a39f4-73f5-4bd4-a12f-17d1ad17ab61;7f:b2:48:08:11:fd;1;1;-70.0;-70.0;-70.0;0.1;3.44e-05;33;33;33;;0;1;0
Appareil_010;00112233-4455-6677-8899-aabbcc5deeff;4b:9c:4c:e8:a6:be;00112233-4455-6677-8899-aabbcc5deeff;4b:9c:4c:e8:a6:be;1;1;-70.0;-70.0;-70.0;0.1;3.68e-05;36;36;36;;0;1;0
Appareil_011;00112233-4455-6677-8899-aabbccddeefe;4b:9c:4c:e8:f6:be;00112233-4455-6677-8899-aabbccddeefe;4b:9c:4c:e8:f6:be;1;1;-70.0;-70.0;-70.0;0.1;3.68e-05;36;36;36;;0;1;0
