timestamp_iso;device_id;ancien_niveau;nouveau_niveau;grandeur;valeur;unite
2026-07-23T00:47:12.574078;Appareil_001;INITIAL;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:12.781036;Appareil_001;ORANGE;VERT;RSSI;-88.0;dBm
2026-07-23T00:47:12.785896;Appareil_002;INITIAL;ORANGE;RSSI;-66.0;dBm
2026-07-23T00:47:12.890904;Appareil_002;ORANGE;VERT;RSSI;-88.0;dBm
2026-07-23T00:47:12.996711;Appareil_001;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:13.001740;Appareil_001;ORANGE;VERT;RSSI;-81.0;dBm
2026-07-23T00:47:13.107108;Appareil_002;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:13.112257;Appareil_002;ORANGE;VERT;RSSI;-79.0;dBm
2026-07-23T00:47:13.218141;Appareil_001;VERT;ORANGE;RSSI;-67.0;dBm
2026-07-23T00:47:13.230031;Appareil_001;ORANGE;VERT;RSSI;-78.0;dBm
2026-07-23T00:47:13.338887;Appareil_001;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:47:13.344142;Appareil_001;ORANGE;VERT;RSSI;-80.0;dBm
2026-07-23T00:47:13.450934;Appareil_002;VERT;ORANGE;RSSI;-67.0;dBm
2026-07-23T00:47:13.456235;Appareil_002;ORANGE;VERT;RSSI;-84.0;dBm
2026-07-23T00:47:13.562234;Appareil_001;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:13.667909;Appareil_001;ORANGE;VERT;RSSI;-85.0;dBm
2026-07-23T00:47:13.673913;Appareil_001;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T00:47:13.885353;Appareil_003;INITIAL;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:47:13.891026;Appareil_001;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T00:47:13.996920;Appareil_001;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:14.002695;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T00:47:14.108973;Appareil_001;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:14.114925;Appareil_001;ORANGE;VERT;RSSI;-79.0;dBm
2026-07-23T00:47:14.220928;Appareil_001;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:14.227051;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-23T00:47:14.233082;Appareil_002;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:14.339469;Appareil_002;ORANGE;VERT;RSSI;-86.0;dBm
2026-07-23T00:47:14.345257;Appareil_001;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:47:14.350872;Appareil_001;ORANGE;VERT;RSSI;-88.0;dBm
2026-07-23T00:47:14.976745;Appareil_001;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:47:14.983786;Appareil_001;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-23T00:47:14.989762;Appareil_001;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:15.095866;Appareil_002;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:15.102028;Appareil_002;ORANGE;VERT;RSSI;-87.0;dBm
2026-07-23T00:47:15.215265;Appareil_001;ORANGE;VERT;RSSI;-84.0;dBm
2026-07-23T00:47:15.321494;Appareil_001;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:15.327573;Appareil_001;ORANGE;VERT;RSSI;-83.0;dBm
2026-07-23T00:47:15.433891;Appareil_002;VERT;ORANGE;RSSI;-69.0;dBm
2026-07-23T00:47:15.440477;Appareil_002;ORANGE;VERT;RSSI;-82.0;dBm
2026-07-23T00:47:15.546969;Appareil_001;VERT;ORANGE;RSSI;-68.0;dBm
2026-07-23T00:47:15.556511;Appareil_001;ORANGE;VERT;RSSI;-82.0;dBm
2026-07-23T00:47:15.781089;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-23T00:47:16.106842;Appareil_002;VERT;ORANGE;RSSI;-60.0;dBm
2026-07-23T00:47:16.641617;Appareil_002;ORANGE;VERT;RSSI;-72.0;dBm
2026-07-23T00:47:16.873947;Appareil_001;ORANGE;VERT;RSSI;-73.0;dBm
2026-07-23T00:47:16.986091;Appareil_001;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T00:47:17.095761;Appareil_002;VERT;ORANGE;RSSI;-58.0;dBm
2026-07-23T00:47:17.430895;Appareil_001;ORANGE;VERT;RSSI;-72.0;dBm
2026-07-23T00:47:17.540398;Appareil_001;VERT;ORANGE;RSSI;-58.0;dBm
