device_id;fabricant;type_detecte;confiance_detection;nom_local;adresse_mac;uuid_ibeacon;nombre_trames;rssi_recent_dbm;longueur_recente_octets;type_pdu_recent;canal_recent;derniere_detection_epoch
Appareil_001;Apple;Appareil Apple BLE;faible;;7a:bb:56:99:77:d5;;373;-84.0;24;ADV_IND;37;1784761894.101253
Appareil_002;Apple;Appareil Apple BLE;faible;;d7:2a:df:c1:04:e0;;39;-66.0;37;ADV_NONCONN_IND;38;1784761893.434236
Appareil_003;Apple;Appareil Apple BLE;faible;;4f:2d:cc:dd:4c:1d;;425;-80.0;20;ADV_IND;39;1784761895.963464
Appareil_004;Apple;Appareil Apple BLE;faible;;7a:b5:56:99:77:d5;;1;-72.0;24;ADV_IND;38;1784761776.995704
Appareil_005;Apple;Appareil Apple BLE;faible;;6f:2d:cc:dd:0c:19;;1;-75.0;20;ADV_IND;38;1784761777.633939
Appareil_006;Apple;Appareil Apple BLE;faible;;eb:79:a5:09:fb:ac;;66;-71.0;33;ADV_IND;39;1784761890.791705
Appareil_007;Apple;Appareil Apple BLE;faible;;46:6b:b3:73:f0:80;;48;-89.0;25;ADV_IND;38;1784761848.26526
Appareil_008;Apple;Appareil Apple BLE;faible;;c0:4d:38:69:af:3e;;8;-89.0;33;ADV_IND;37;1784761869.690933
Appareil_009;Apple;Appareil Apple BLE;faible;;4f:2d:cc:1d:4c:1d;;1;-76.0;20;ADV_IND;38;1784761779.121789
Appareil_010;Apple;Appareil Apple BLE;faible;;d3:33:a4:59:a5:b9;;10;-96.0;10;ADV_NONCONN_IND;39;1784761885.445655
Appareil_011;Apple;Appareil Apple BLE;faible;;d5:02:85:f2:37:1b;;32;-89.0;14;ADV_NONCONN_IND;39;1784761895.469033
Appareil_012;Apple;Appareil Apple BLE;faible;;46:6b:33:73:f0:80;;2;-91.0;25;ADV_IND;37;1784761845.975059
Appareil_013;Apple;Appareil Apple BLE;faible;;61:25:08:03:9e:3f;;7;-89.0;23;ADV_NONCONN_IND;38;1784761845.532435
Appareil_014;Apple;Appareil Apple BLE;faible;;46:6b:b3:53:f0:80;;2;-84.0;25;ADV_IND;37;1784761786.445022
Appareil_015;Apple;Appareil Apple BLE;faible;;4f:25:cc:dd:4c:1d;;2;-82.0;20;ADV_IND;39;1784761832.632594
Appareil_016;Apple;Appareil Apple BLE;faible;;eb:79:a5:09:fa:ac;;1;-81.0;33;ADV_IND;37;1784761787.544233
Appareil_017;Apple;Appareil Apple BLE;faible;;eb:69:e7:09:fb:ac;;1;-75.0;33;ADV_IND;38;1784761792.479998
Appareil_018;Apple;Appareil Apple BLE;faible;;c0:4d:28:69:af:3e;;1;-96.0;33;ADV_IND;38;1784761798.358062
Appareil_019;Apple;Appareil Apple BLE;faible;;de:f8:9f:5b:52:dd;;1;-98.0;14;ADV_NONCONN_IND;39;1784761803.462082
Appareil_020;Apple;Appareil Apple BLE;faible;;52:30:d8:e1:d9:b3;;1;-94.0;23;ADV_IND;39;1784761805.198692
Appareil_021;Apple;Appareil Apple BLE;faible;;4d:4d:cc:dd:4c:1d;;1;-77.0;20;ADV_IND;38;1784761805.277846
Appareil_022;Apple;Appareil Apple BLE;faible;;d7:2c:df:c1:02:e0;;1;-78.0;37;ADV_NONCONN_IND;38;1784761807.823979
Appareil_023;Apple;Appareil Apple BLE;faible;;7b:5b:56:99:77:d5;;1;-72.0;24;ADV_IND;38;1784761808.028698
Appareil_024;Apple;Appareil Apple BLE;faible;;46:6a:33:73:f0:82;;1;-86.0;25;ADV_IND;38;1784761813.483157
