device_id;nombre_valeurs;longueur_moyenne_octets;longueur_mediane_octets;longueur_min_octets;longueur_max_octets;ecart_type_octets
Appareil_001;373;24;24;24;24;0.0
Appareil_002;39;37;37;37;37;0.0
Appareil_003;425;19.997647058823528;20;16;23;0.2425242113265906
Appareil_004;1;24;24;24;24;0.0
Appareil_005;1;20;20;20;20;0.0
Appareil_006;66;33;33.0;33;33;0.0
Appareil_007;48;25.666666666666668;25.0;25;57;4.570436400267362
Appareil_008;8;33;33.0;33;33;0.0
Appareil_009;1;20;20;20;20;0.0
Appareil_010;10;13.6;14.0;10;14;1.2
Appareil_011;32;14;14.0;14;14;0.0
Appareil_012;2;25;25.0;25;25;0.0
Appareil_013;7;23;23;23;23;0.0
Appareil_014;2;25;25.0;25;25;0.0
Appareil_015;2;20;20.0;20;20;0.0
Appareil_016;1;33;33;33;33;0.0
Appareil_017;1;33;33;33;33;0.0
Appareil_018;1;33;33;33;33;0.0
Appareil_019;1;14;14;14;14;0.0
Appareil_020;1;23;23;23;23;0.0
Appareil_021;1;20;20;20;20;0.0
Appareil_022;1;37;37;37;37;0.0
Appareil_023;1;24;24;24;24;0.0
Appareil_024;1;25;25;25;25;0.0
Appareil_025;1;24;24;24;24;0.0
Appareil_026;1;14;14;14;14;0.0
Appareil_027;2;24;24.0;24;24;0.0
Appareil_028;1;14;14;14;14;0.0
Appareil_029;1;25;25;25;25;0.0
Appareil_030;1;23;23;23;23;0.0
Appareil_031;5;24;24;24;24;0.0
Appareil_032;1;24;24;24;24;0.0
Appareil_033;1;36;36;36;36;0.0
Appareil_034;1;20;20;20;20;0.0
Appareil_035;2;20.5;20.5;20;21;0.5
Appareil_036;1;14;14;14;14;0.0
Appareil_037;1;25;25;25;25;0.0
Appareil_038;1;20;20;20;20;0.0
Appareil_039;1;25;25;25;25;0.0
Appareil_040;30;25;25.0;25;25;0.0
Appareil_041;1;24;24;24;24;0.0
Appareil_042;1;20;20;20;20;0.0
Appareil_043;2;23;23.0;23;23;0.0
Appareil_044;1;14;14;14;14;0.0
Appareil_045;1;25;25;25;25;0.0
Appareil_046;1;14;14;14;14;0.0
Appareil_047;1;20;20;20;20;0.0
Appareil_048;1;24;24;24;24;0.0
Appareil_049;1;24;24;24;24;0.0
Appareil_050;1;25;25;25;25;0.0
Appareil_051;1;24;24;24;24;0.0
Appareil_052;1;14;14;14;14;0.0
Appareil_053;1;20;20;20;20;0.0
Appareil_054;1;33;33;33;33;0.0
Appareil_055;1;24;24;24;24;0.0
Appareil_056;1;20;20;20;20;0.0
Appareil_057;1;24;24;24;24;0.0
Appareil_058;1;20;20;20;20;0.0
Appareil_059;1;20;20;20;20;0.0
Appareil_060;1;20;20;20;20;0.0
Appareil_061;1;24;24;24;24;0.0
Appareil_062;1;24;24;24;24;0.0
