device_id;uuid_principal;adresse_mac_principale;uuid_observes;adresses_mac_observees;nombre_trames;nombre_evenements;rssi_moyen_dbm;rssi_min_dbm;rssi_max_dbm;puissance_moyenne_nw;energie_totale_nj;longueur_moyenne_octets;longueur_min_octets;longueur_max_octets;intervalle_moyen_ms;canal_37;canal_38;canal_39
Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;4e:ee:20:af:66:bd; | 620b39f4-73f5-4bc4-a12f-17d1ad07a961 | 8bb72266-b6b2-bd5f-3c97-316c7ad61683 | e20a39b4-7335-5b7a-a9af-56d1ad07a941 | e20a39b4-73f5-4bc4-a12f-17d1ad07a961 | e20a39f4-73f5-4b44-a12f-17d1ad07a941 | e20a39f4-73f5-4bc0-a12f-17d1ad07a961 | e20a39f4-73f5-4bc4-612f-17d1ad07a961 | e20a39f4-73f5-4bc4-a12f-16d1ad07a961 | e20a39f4-73f5-4bc4-a12f-17aee9b318c6 | e20a39f4-73f5-4bc4-a12f-17cda2f275b2 | e20a39f4-73f5-4bc4-a12f-17d1ad07a941 | e20a39f4-73f5-4bc4-a12f-17d1ad07a961 | e20a39f4-73f5-4bc4-a12f-17d1ad07a9a1 | e20a39f4-73f5-4bc4-a1af-efcf7eff3fa0 | e20a39f4-73f5-4bc4-a52f-17d1ad07a961 | e20a39f4-73f5-5bc4-a12f-17d1ad07a961 | e20a39f4-73f5-cbc4-a12f-17d1ad07a961 | e20a39f4-73f5-cbc4-a12f-17d1ad07e961;4e:ee:20:af:66:bd;364;346;-70.32692307692308;-90.0;-62.0;0.17162322111045664;0.02148997325456694;33;33;33;247.43614542311516;82;134;148
Appareil_002;00112233-4455-6677-8899-aabbccddeeff;6e:b9:6e:2b:30:5e; | 00112233-4455-6673-8899-aabbccddeeff | 00112233-4455-6677-4cb6-7a744c418f78 | 00112233-4455-6677-8899-aa3bc09a8e29 | 00112233-4455-6677-8899-aa9bccddeeff | 00112233-4455-6677-8899-aabaccddeeff | 00112233-4455-6677-8899-aabbcc5defff | 00112233-4455-6677-8899-aabbccddcacc | 00112233-4455-6677-8899-aabbccddeebf | 00112233-4455-6677-8899-aabbccddeeff | 00112233-4455-6677-8899-aabbccddefff | 00112233-4455-6677-8999-aabbccddeeff | 00112233-4455-6677-8a99-aabbccddeeff | 00112233-4455-6677-cc56-933880000814 | 00112233-4455-66ef-a2ef-0307d702aa14 | 00112233-7c55-a676-8899-aabbf0ddeeff | 00112273-4455-6677-8899-eabb4cdcefff | 00112a33-4455-6677-8898-aabaccddeeff | 00114233-4455-6677-8899-aabbccddeeff | 00116233-4455-6677-8899-aabbccddeeff | 00192233-4455-6677-8899-aabbccddeeff | c0114233-4455-6677-8899-aabbccddeeff;5c:37:11:34:82:9e | 6e:a9:6e:2b:30:5e | 6e:b9:6e:2b:30:5e | 6e:b9:7e:2b:30:5e | 6f:49:6e:2b:30:5e | 7c:37:11:34:82:9e;783;726;-70.24521072796935;-91.0;-62.0;0.16474491726418186;0.047470259440170415;36;36;36;118.07871752771838;203;276;304
Appareil_003;;73:e1:5b:d3:09:fa;;73:e1:5b:d3:09:fa;382;338;-70.11256544502618;-88.0;-62.0;0.16841343451639176;0.0226455440588121;34;34;34;252.85420219693057;115;126;141
Appareil_004;;f5:39:7e:e8:f2:89;;f5:39:7e:e8:f2:89;22;22;-74.72727272727273;-87.0;-68.0;0.06010263018533444;0.0004971689568930864;37;37;37;4058.1726687295095;17;0;5
Appareil_005;;4f:2d:cc:dd:4c:1d;;4f:2d:cc:dd:4c:1d;224;218;-77.70535714285714;-86.0;-70.0;0.027762251108136345;0.0014924986195734098;20;20;20;390.48462639206565;57;61;106
Appareil_006;;55:b1:c8:32:ed:5e;;55:b1:c8:32:ed:5e;96;95;-82.95833333333333;-90.0;-80.0;0.00582103727123464;0.0001519989252264789;24;24;24;896.8969684966067;65;2;29
Appareil_007;;d3:a4:a0:7b:65:fc;;d3:a4:a0:7b:65:fc;7;7;-88.57142857142857;-90.0;-87.0;0.001429838186306626;3.443050352626355e-06;33;33;33;12581.294814745585;7;0;0
Appareil_008;;4f:2d:cf:1d:4c:1d;;4f:2d:cf:1d:4c:1d;1;1;-73.0;-73.0;-73.0;0.05011872336272715;1.2028493607054515e-05;20;20;20;;0;1;0
Appareil_009;;e9:b7:17:7f:a4:cf;;e9:b7:17:7f:a4:cf;13;13;-82.6923076923077;-88.0;-80.0;0.0060193501659887;1.5024298014307795e-05;14;14;14;6496.986428896586;9;0;4
Appareil_010;;4d:b1:d8:32:ed:5e;;4d:b1:d8:32:ed:5e;1;1;-82.0;-82.0;-82.0;0.006309573444801942;1.7162039769861282e-06;24;24;24;;1;0;0
