index;device_id;canonical_uuid;address;start_epoch;end_epoch;span_ms;interval_ms;packet_count;channels;pdu_types;length_mean_bytes;rssi_mean_dbm;total_airtime_us;event_energy_j;event_energy_nj;cumulative_energy_j;cumulative_energy_nj
1;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;4e:ee:20:af:66:bd;1784762296.707043;1784762296.707043;0.0;;1;39;ADV_IND;33;-74.0;344.0;1.3694886667040295e-14;1.3694886667040296e-05;1.3694886667040295e-14;1.3694886667040296e-05
2;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;5c:37:11:34:82:9e;1784762296.733276;1784762296.733276;0.0;;1;37;ADV_IND;36;-67.0;368.0;7.342565319085489e-14;7.342565319085489e-05;7.342565319085489e-14;7.342565319085489e-05
3;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;73:e1:5b:d3:09:fa;1784762296.764633;1784762296.764633;0.0;;1;38;ADV_IND;34;-64.0;352.0;1.4013372403483091e-13;0.00014013372403483092;1.4013372403483091e-13;0.00014013372403483092
4;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;73:e1:5b:d3:09:fa;1784762296.791064;1784762296.791064;0.0;26.43108367919922;1;39;ADV_IND;34;-74.0;352.0;1.4013372403483093e-14;1.4013372403483093e-05;1.54147096438314e-13;0.000154147096438314
5;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;6e:b9:6e:2b:30:5e;1784762296.818506;1784762296.818506;0.0;85.23011207580566;1;37;ADV_IND;36;-66.0;368.0;9.243742067955261e-14;9.24374206795526e-05;1.658630738704075e-13;0.0001658630738704075
6;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;6e:b9:6e:2b:30:5e;1784762296.877481;1784762296.877481;0.0;58.9749813079834;1;39;ADV_IND;36;-74.0;368.0;1.4650343876368688e-14;1.4650343876368689e-05;1.805134177467762e-13;0.00018051341774677617
7;Appareil_004;apple:appareil apple ble:f5:39:7e:e8:f2:89;f5:39:7e:e8:f2:89;1784762296.973664;1784762296.973664;0.0;;1;37;ADV_NONCONN_IND;37;-69.0;376.0;4.7335595483460646e-14;4.7335595483460644e-05;4.7335595483460646e-14;4.7335595483460644e-05
8;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;4e:ee:20:af:66:bd;1784762297.132664;1784762297.132664;0.0;425.62103271484375;1;39;ADV_IND;33;-74.0;344.0;1.3694886667040295e-14;1.3694886667040296e-05;2.738977333408059e-14;2.7389773334080592e-05
9;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;5c:37:11:34:82:9e;1784762297.169723;1784762297.169723;0.0;292.24205017089844;1;37;ADV_IND;36;-66.0;368.0;9.243742067955261e-14;9.24374206795526e-05;2.729508384263288e-13;0.0002729508384263288
10;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;5c:37:11:34:82:9e;1784762297.201429;1784762297.201429;0.0;31.705856323242188;1;38;ADV_IND;36;-65.0;368.0;1.1637181789419636e-13;0.00011637181789419637;3.8932265632052514e-13;0.00038932265632052516
11;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;5c:37:11:34:82:9e;1784762297.228489;1784762297.228489;0.0;27.06003189086914;1;39;ADV_IND;36;-72.0;368.0;2.3219230276871145e-14;2.3219230276871145e-05;4.1254188659739626e-13;0.00041254188659739624
12;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;73:e1:5b:d3:09:fa;1784762297.255268;1784762297.255268;0.0;464.2040729522705;1;37;ADV_IND;34;-66.0;352.0;8.841840238913727e-14;8.841840238913728e-05;2.4256549882745126e-13;0.00024256549882745125
13;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;73:e1:5b:d3:09:fa;1784762297.283187;1784762297.283187;0.0;27.91881561279297;1;38;ADV_IND;34;-64.0;352.0;1.4013372403483091e-13;0.00014013372403483092;3.826992228622822e-13;0.0003826992228622822
14;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;73:e1:5b:d3:09:fa;1784762297.311226;1784762297.311226;0.0;28.038978576660156;1;39;ADV_IND;34;-74.0;352.0;1.4013372403483093e-14;1.4013372403483093e-05;3.9671259526576527e-13;0.00039671259526576525
15;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;6e:b9:6e:2b:30:5e;1784762297.318066;1784762297.318066;0.0;89.57695960998535;1;37;ADV_IND;36;-66.0;368.0;9.243742067955261e-14;9.24374206795526e-05;5.049793072769489e-13;0.0005049793072769489
16;Appareil_005;apple:appareil apple ble:4f:2d:cc:dd:4c:1d;4f:2d:cc:dd:4c:1d;1784762297.422621;1784762297.422621;0.0;;1;39;ADV_IND;20;-84.0;240.0;9.554572093283927e-16;9.554572093283927e-07;9.554572093283927e-16;9.554572093283927e-07
17;Appareil_006;apple:appareil apple ble:55:b1:c8:32:ed:5e;55:b1:c8:32:ed:5e;1784762297.444076;1784762297.444076;0.0;;1;37;ADV_IND;24;-80.0;272.0;2.7199999999999996e-15;2.72e-06;2.7199999999999996e-15;2.72e-06
18;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;4e:ee:20:af:66:bd;1784762297.562825;1784762297.562825;0.0;430.1609992980957;1;38;ADV_IND;33;-64.0;344.0;1.3694886667040295e-13;0.00013694886667040294;1.6433864000448353e-13;0.00016433864000448353
