timestamp_iso;device_id;ancien_niveau;nouveau_niveau;grandeur;valeur;unite
2026-07-23T01:18:16.772835;Appareil_001;INITIAL;VERT;RSSI;-74.0;dBm
2026-07-23T01:18:16.775586;Appareil_002;INITIAL;ORANGE;RSSI;-67.0;dBm
2026-07-23T01:18:16.778780;Appareil_003;INITIAL;ORANGE;RSSI;-64.0;dBm
2026-07-23T01:18:16.882943;Appareil_003;ORANGE;VERT;RSSI;-74.0;dBm
2026-07-23T01:18:16.892659;Appareil_002;ORANGE;VERT;RSSI;-74.0;dBm
2026-07-23T01:18:16.997795;Appareil_004;INITIAL;ORANGE;RSSI;-69.0;dBm
2026-07-23T01:18:17.207530;Appareil_002;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T01:18:17.316150;Appareil_002;ORANGE;VERT;RSSI;-72.0;dBm
2026-07-23T01:18:17.327239;Appareil_003;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T01:18:17.340052;Appareil_003;ORANGE;VERT;RSSI;-74.0;dBm
2026-07-23T01:18:17.348644;Appareil_002;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T01:18:17.456142;Appareil_005;INITIAL;VERT;RSSI;-84.0;dBm
2026-07-23T01:18:17.461375;Appareil_006;INITIAL;VERT;RSSI;-80.0;dBm
2026-07-23T01:18:17.567912;Appareil_001;VERT;ORANGE;RSSI;-64.0;dBm
2026-07-23T01:18:17.675196;Appareil_001;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T01:18:17.709723;Appareil_002;ORANGE;VERT;RSSI;-74.0;dBm
2026-07-23T01:18:17.716581;Appareil_003;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T01:18:17.841175;Appareil_003;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T01:18:17.851293;Appareil_002;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T01:18:17.965267;Appareil_002;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T01:18:18.078829;Appareil_007;INITIAL;VERT;RSSI;-88.0;dBm
2026-07-23T01:18:18.332127;Appareil_001;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T01:18:18.343776;Appareil_001;ORANGE;VERT;RSSI;-76.0;dBm
2026-07-23T01:18:18.450644;Appareil_002;VERT;ORANGE;RSSI;-66.0;dBm
2026-07-23T01:18:18.464333;Appareil_002;ORANGE;VERT;RSSI;-75.0;dBm
2026-07-23T01:18:18.471240;Appareil_003;VERT;ORANGE;RSSI;-66.0;dBm
